ms,word_3,word_2,word_1
1249,غلط,هذا,شيخو
1250,بن,خليل,الصفدي
1269,وجهه,يرني,لا
1284,الدين,شمس,فيه
1288,يونس,للأمير,السلطان
1290,الدين,محي,القاضي
1297,بن,محمد,الشريف
1298,مبنية,قلعة,قوم
1298,فوق,روضة,تلك
1301,الظاهر,عبد,ابن
1309,الظاهر,عبد,ابن
1309,الدين,شمس,القاضي
1309,الدين,جمال,الحافظ
1310,باخطلبا,الأمير,لي
1310,الفرس,أين,لي
1310,فخر,الأمير,لي
1311,أذني,في,لي
1311,فخر,الأمير,له
1322,الظاهر,عبد,ابن
1323,الظاهر,عبد,ابن
1329,الظاهر,عبد,ابن
1337,الذي,اليوم,في
1339,في,زولاق,ابن
1344,قاضي,شيخنا,لي
1344,الظاهر,عبد,ابن
1354,عاط,عاط,له
1364,الظاهرية,السيرة,جامع
1371,عبد,سعيد,أبو
1371,عبد,أبو,القاضي
1371,الدين,تاج,القاضي
1386,عبد,القاسم,أبو
1388,الله,رحمه,مالك
1390,رضي,عمر,له
1390,والله,قد,الرجل
1391,لا,لم,لي
1391,المسعودي,الحسن,أبو
1391,في,يونس,ابن
1395,الظاهر,عبد,ابن
1397,الظاهر,عبد,ابن
1398,محمد,بن,الحسن
1401,في,جزلة,ابن
1402,من,تبرىء,إنها
1402,ماسويه,بن,يحيى
1402,إصلاح,كتاب,صاحب
1402,الله,رحمه,مؤلفه
1406,كتاب,في,ياقوت
1406,الظاهر,عبد,ابن
1426,الظاهر,عبد,ابن
1426,الله,رحمه,مؤلفه
1432,الحكم,عبد,ابن
1437,وقد,الطوير,ابن
1437,في,الفاضل,القاضي
1438,الناصر,سيرة,جامع
1438,الله,رحمه,مؤلفه
1444,هذه,أن,لومراء
1445,كانت,التي,السباع
1450,ويولي,يعزله,السلطان
1454,بن,أحمد,الشهاب
1454,في,طبنة,أهل
1457,الكندي,بكر,أبو
1457,عبد,القاسم,أبو
1461,أمية,الصلت,أبو
1462,الرفيق,بن,ابراهيم
1462,أبي,بن,محمد
1472,آخر,موضع,في
1473,ذكر,في,القضاعي
1477,الكندي,عمر,أبو
1478,وقد,سعيد,ابن
1478,الدين,علم,فيه
1481,عميرة,يونس,ابن
1483,في,الفاضل,القاضي
1483,الناصر,سيرة,جامع
1524,في,سعيد,ابن
1528,بن,علي,العلامة
1531,الكندي,عمر,أبو
1535,أخا,يا,لي
1535,يتخذ,أن,له
1546,القرآن,بخلق,منهم
1557,إلى,ماض,وهو
1560,في,الفاضل,القاضي
1563,الناصرية,السيرة,جامع
1569,الكندي,عمرو,أبو
1618,رضي,الله,عبد
1639,الله,رحمه,مؤلفه
1673,تجيب,من,رجل
1673,حبيب,بن,يزيد
1673,أبو,أقرأناها,هكذا
1673,عبد,بن,الخليل
1683,الله,رحمه,مؤلفه
1689,سعد,بن,الليث
1693,أريك,أن,أتريد
1697,الحكم,عبد,ابن
1707,محمد,عمرو,أبو
1714,في,المأمون,ابن
1717,الظاهر,عبد,ابن
1717,الطولونية,السيرة,جامع
1718,بن,أحمد,له
1727,بن,الحسن,الفقيه
1730,غيره,وقال,البلاذري
1731,الله,رضي,عمر
1732,بالليل,الأذان,في
1734,صلى,الله,رسول
1740,الظاهر,عبد,ابن
1741,الدين,محي,القاضي
1746,سنة,حوادث,في
1746,سنة,حوادث,في
1746,الظاهر,عبد,ابن
1751,عقيل,ابن,له
1751,الله,صلى,النبي
1752,الله,صلى,النبي
1752,الهندي,الدين,سراج
1753,الله,رحمه,مؤلفه
1757,حوادث,في,المسبحي
1758,طي,أبي,ابن
1775,نزهة,كتاب,فيه
1782,الظاهر,عبد,ابن
1782,جملة,في,لهم
1786,حوادث,في,المسبحي
1786,سنة,حوادث,في
1786,أسعد,بن,الشريف
1818,أنت,توجه,له
1821,في,السلطان,له
1837,بن,محمد,الشريف
1838,إلا,بقي,ما
1859,نحس,برج,قريني
1859,الدين,شمس,الأديب
1865,بن,سعيد,أبو
1865,صلى,الله,رسول
1865,بن,سعيد,أبو
1875,إنه,ويحكم,علي
1875,جعفر,بحق,له
1875,بحق,أسألك,له
1875,جنودا,لله,إن
1879,من,كلهم,الناس
1903,وابنه,علي,أبو
1918,في,المشركين,أطفال
1918,نتبرأ,لا,ثعلبة
1919,بن,زياد,لهم
1921,الإسلام,في,بالقدر
1932,هو,منهم,آخرون
1933,صلى,الله,رسول
1935,كافر,فهو,هذا
1942,الروضة,كتاب,في
1946,الظاهر,عبد,ابن
1949,حليقة,أبو,السلطان
1950,وظيفة,كل,في
1958,الظاهر,عبد,ابن
1958,الدين,ضياء,الفقيه
1958,الدين,صفي,الصاحب
1968,علم,الطبيب,له
1981,لمن,أقبغا,الأمير
1987,خوند,يا,له
2003,مالكا,كنت,إن
2003,صاحبنا,ذلك,في
2007,أني,عرفت,لو
2013,إلا,أتوجه,لا
2025,الكندي,عمر,أبو
2025,الطولونية,السيرة,جامع
2037,الظاهر,عبد,ابن
2037,في,المأمون,ابن
2045,العصر,أدباء,بعض
2077,بحضرة,مرة,له
2077,أصحابه,لبعض,خضر
2103,الله,رحمه,الشافعي
2105,الكندي,عمرو,أبو
2105,بن,محمد,الشريف
2105,محمد,بن,موسى
2115,بن,محمد,الشريف
2120,أحد,الأصغر,ليوسف
2128,تسبب,لؤلؤ,له
2134,ولده,لمؤدب,يوما
2134,في,القاسم,أبو
2140,أبو,الدين,علاء
2142,الدولة,أمين,الشريف
2144,وجل,عز,الله
2158,PageV04P371,فيه,الله
2158,تتقون,ألا,لقومه
2158,تجزعي,لا,لها
2159,وكل,انزل,لأحؤب
2192,أوجب,أيما,الإسكندروس
2192,عبادة,بل,آريوس
2195,كل,خلق,به
2196,القدس,روح,أن
2198,بغير,حرموه,قد
2198,جوهر,المسيح,أن
2202,أسقف,من,كل
2217,الخباب,أولاد,له
2218,له,يصح,لا
2221,يا,بعضهم,له
2229,علي,الحسن,أبو
2232,أخميم,وبنواحي,الشابشتي
2232,الله,رحمه,مؤلفه
2244,شيبة,بن,عمر
2244,صلى,الله,رسول
2244,الرحال,تشد,إنما
2244,عبد,أبو,القاضي
2246,مرداس,بن,العباس
2246,الرقيات,قيس,ابن
