,Unnamed: 0.1,Unnamed: 0,uri,ms,origin,origin_prev_ms
220,220,254.0,0257IbnCabdHakam.FutuhMisr,179,self,False
895,0,,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.100,False
896,1,,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.101,False
897,2,,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.102,False
898,3,,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.99,True
899,4,,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.100,True
900,5,,0257IbnCabdHakam.FutuhMisr,179,0911Suyuti.HusnMuhadara.101,True
221,221,255.0,0257IbnCabdHakam.FutuhMisr,180,self,False
1281,0,,0257IbnCabdHakam.FutuhMisr,180,0911Suyuti.HusnMuhadara.102,False
1282,1,,0257IbnCabdHakam.FutuhMisr,180,0911Suyuti.HusnMuhadara.101,True
222,222,256.0,0257IbnCabdHakam.FutuhMisr,307,self,False
2301,4,,0257IbnCabdHakam.FutuhMisr,307,0930IbnIyas.NuzhatUmam.93,False
223,223,257.0,0257IbnCabdHakam.FutuhMisr,321,self,False
503,503,540.0,0596IbnWasifShah.MukhtasarCajaibDunya,321,self,False
224,224,258.0,0257IbnCabdHakam.FutuhMisr,323,self,False
225,225,259.0,0257IbnCabdHakam.FutuhMisr,326,self,False
226,226,260.0,0257IbnCabdHakam.FutuhMisr,327,self,False
227,227,261.0,0257IbnCabdHakam.FutuhMisr,336,self,False
507,507,544.0,0596IbnWasifShah.MukhtasarCajaibDunya,336,self,False
228,228,262.0,0257IbnCabdHakam.FutuhMisr,337,self,False
983,0,,0151IbnIshaq.Sira,337,0213IbnHisham.SiraNabawiyya.178,False
984,1,,0151IbnIshaq.Sira,337,0338AbuJacfarNahhas.MacaniQuran.479,False
985,2,,0151IbnIshaq.Sira,337,0535QawwamSunna.DalailNubuwwa.216,False
986,3,,0151IbnIshaq.Sira,337,0581AbuQasimSuhayli.RawdUnuf.465,False
988,5,,0151IbnIshaq.Sira,337,0845Maqrizi.KhabarCanBashar.2246,False
991,8,,0151IbnIshaq.Sira,337,0845Maqrizi.KhabarCanBashar.2245,True
992,9,,0151IbnIshaq.Sira,337,0845Maqrizi.KhabarCanBashar.2246,True
229,229,263.0,0257IbnCabdHakam.FutuhMisr,338,self,False
1492,1,,0257IbnCabdHakam.FutuhMisr,338,0930IbnIyas.NuzhatUmam.146,False
232,232,266.0,0257IbnCabdHakam.FutuhMisr,361,self,False
734,734,783.0,0614IbnJubayr.Rihla,361,self,False
777,777,826.0,567IbnQalaqis,361,self,False
233,233,267.0,0257IbnCabdHakam.FutuhMisr,362,self,False
2505,0,,0257IbnCabdHakam.FutuhMisr,362,0930IbnIyas.BadaicZuhur.73,False
234,234,268.0,0257IbnCabdHakam.FutuhMisr,363,self,False
235,235,269.0,0257IbnCabdHakam.FutuhMisr,364,self,False
2201,0,,0257IbnCabdHakam.FutuhMisr,364,0930IbnIyas.BadaicZuhur.73,False
236,236,270.0,0257IbnCabdHakam.FutuhMisr,373,self,False
237,237,271.0,0257IbnCabdHakam.FutuhMisr,374,self,False
238,238,272.0,0257IbnCabdHakam.FutuhMisr,375,self,False
239,239,273.0,0257IbnCabdHakam.FutuhMisr,376,self,False
240,240,274.0,0257IbnCabdHakam.FutuhMisr,377,self,False
1812,0,,0257IbnCabdHakam.FutuhMisr,377,0911Suyuti.HusnMuhadara.82,False
1813,1,,0257IbnCabdHakam.FutuhMisr,377,0930IbnIyas.BadaicZuhur.79,False
241,241,275.0,0257IbnCabdHakam.FutuhMisr,378,self,False
926,0,,0257IbnCabdHakam.FutuhMisr,378,0911Suyuti.HusnMuhadara.82,False
549,549,586.0,0454Qudaci,378,self,False
716,716,765.0,0350MuhammadKindi.FadailMisr,378,self,False
242,242,276.0,0257IbnCabdHakam.FutuhMisr,379,self,False
1671,0,,0257IbnCabdHakam.FutuhMisr,379,0911Suyuti.HusnMuhadara.83,False
1672,1,,0257IbnCabdHakam.FutuhMisr,379,0911Suyuti.HusnMuhadara.82,True
243,243,277.0,0257IbnCabdHakam.FutuhMisr,380,self,False
2403,0,,0257IbnCabdHakam.FutuhMisr,380,0911Suyuti.HusnMuhadara.83,False
2404,1,,0257IbnCabdHakam.FutuhMisr,380,0911Suyuti.HusnMuhadara.84,False
2405,2,,0257IbnCabdHakam.FutuhMisr,380,0911Suyuti.HusnMuhadara.82,True
2406,3,,0257IbnCabdHakam.FutuhMisr,380,0911Suyuti.HusnMuhadara.83,True
244,244,278.0,0257IbnCabdHakam.FutuhMisr,381,self,False
1961,0,,0257IbnCabdHakam.FutuhMisr,381,0911Suyuti.HusnMuhadara.84,False
1962,1,,0257IbnCabdHakam.FutuhMisr,381,0911Suyuti.HusnMuhadara.83,True
245,245,279.0,0257IbnCabdHakam.FutuhMisr,382,self,False
1442,0,,0257IbnCabdHakam.FutuhMisr,382,0911Suyuti.HusnMuhadara.89,False
1444,2,,0257IbnCabdHakam.FutuhMisr,382,0911Suyuti.HusnMuhadara.88,True
246,246,280.0,0257IbnCabdHakam.FutuhMisr,383,self,False
1079,0,,0257IbnCabdHakam.FutuhMisr,383,0911Suyuti.HusnMuhadara.89,False
1080,1,,0257IbnCabdHakam.FutuhMisr,383,0911Suyuti.HusnMuhadara.109,False
1081,2,,0257IbnCabdHakam.FutuhMisr,383,0911Suyuti.HusnMuhadara.111,False
1083,4,,0257IbnCabdHakam.FutuhMisr,383,0911Suyuti.HusnMuhadara.88,True
1084,5,,0257IbnCabdHakam.FutuhMisr,383,0911Suyuti.HusnMuhadara.108,True
1085,6,,0257IbnCabdHakam.FutuhMisr,383,0911Suyuti.HusnMuhadara.110,True
247,247,281.0,0257IbnCabdHakam.FutuhMisr,384,self,False
2394,0,,0257IbnCabdHakam.FutuhMisr,384,0911Suyuti.HusnMuhadara.109,False
2395,1,,0257IbnCabdHakam.FutuhMisr,384,0911Suyuti.HusnMuhadara.110,False
