,reuser,ms_count
137,0458Bayhaqi.MacrifatSunanWaAthar,1
131,0977KhatibShirbini.SirajMunir,1
78,0662HusaynIbnBadrDin.ShifaUwam,2
291,0634AbuRabicHimyari.Iktifa,2
188,0842IbnNasirDinDimashqi.JamicAthar,2
172,0346Mascudi.MurujDhahab,2
189,0256Bukhari.TarikhSaghir,2
305,0726IbnSuqaci.TaliWafayat,2
73,0597IbnJawzi.KashfMushkil,2
313,0488IbnFutuhHumaydi.JamcBaynaSahihayn,2
314,0726CallamaHilli.NihayatWusul,2
304,0630IbnAthirCizzDin.LubabFiTahdhibAnsab,2
306,0950IbnSabat.SidqAkhbar,2
279,0542IbnBassamShantarini.Dhakhira,2
283,0606IbnMamati.QawaninDawawin,2
92,0725BaybarsMansuri.ZubdatFikra,2
315,0751IbnQayyimJawziyya.SawaciqMursala,2
272,0613CaliIbnZafir.AkhbarDuwalMunqatica,2
271,0633IbnDihyaJumayyilKalbi.NibrasFiTarikh,2
268,0911Suyuti.ShaddAthwab,2
267,0911Samhudi.wafa,2
266,0816AbuBakrMaraghi.TahqiqNusra,2
265,0911Samhudi.WafaWafa,2
262,0759Yusufi.NuzhatNazir,2
121,0427AbuIshaqThaclabi.KashfWaBayan,2
68,0776MuhammadIbnHasanWasiti.MajmacAhbab,2
341,0463KhatibBaghdadi.TarikhBaghdad,2
327,0415QadiCabdJabbar.ManiyyaWaAmal,2
136,0458Bayhaqi.SunanKubra,2
388,0362AbuFarajIsbahani.MaqatilTalibiyyin,2
129,0774IbnKathir.TafsirQuran,2
27,0911Suyuti.AsmaBiqac,2
35,0942IbnYusufShami.SubulHuda,2
370,0974IbnHajarHaytami.FatawaHadithiyya,2
368,0864Jazairi.IbtisamGhurus,2
38,0783IbnHadida.MisbahMudi,2
123,0468IbnAhmadWahidiNaysaburi.WasitFiTafsir,2
159,0748Adfuwi.TalicSacid,2
323,0852IbnHajarCasqalani.IsabaFiTamyiz,2
160,0614IbnJubayr.Rihla,2
355,0691IbnYusufLabli.Fihrist,2
354,0571IbnCasakir.TabyinKadhib,2
351,0945ShamsDinDawudi.TabaqatMufassirin,2
346,0799IbnFarhun.DibajMudhahhab,2
345,0774IbnKathir.TabaqatFuqahaShaficiyyin,2
343,0772IbnHasanJamalDinIsnawi.TabaqatShaficiyya,2
258,0845Maqrizi.DhahabMasbuk,2
62,0279Baladhuri.FutuhBuldan,2
63,0975MuttaqiHindi.KanzCummal,2
329,0756CadudDinIji.Mawaqif,2
359,0656IbnCabdQawiMundhiri.TakmilaLiWafayatNaqala,2
99,0565AbuHamidGharnati.TuhfatAlbab,2
276,0597CimadDinKatibIsfahani.KharidatQasr,2
113,0310Tabari.JamicBayan,2
185,0256Bukhari.Sahih,2
184,0538JarAllahZamakhshari.RabicAbrar,2
115,0911Suyuti.DurrManthur,2
104,0646IbnQifti.IkhbarCulama,2
231,0966HusaynDiyarbakri.TarikhKhamis,2
241,0282AbuHanifaDinawari.AkhbarTiwal,2
111,0902Sakhawi.Buldaniyyat,2
