,section,book,start,end,first_ms,book2,ms2,section2
74,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,313,344,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
75,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,344,346,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
76,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,352,369,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
77,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,370,373,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
78,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,395,397,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
79,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,397,408,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
80,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,408,409,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
81,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,409,410,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
82,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,410,412,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
83,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,412,413,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
84,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,413,420,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
85,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,420,427,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
86,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,434,437,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
87,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,439,443,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
88,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,457,461,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
89,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,470,473,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
90,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,474,478,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
91,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,478,506,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
92,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,506,511,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
93,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,511,516,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
94,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,516,520,1467,0845Maqrizi.Muqaffa,1370,### $ 1246 - الوزير المغربي [370 - 418]
