,section,book,start,end,first_ms,book2,ms2,section2,rid
2626,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,169,172,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2627,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,173,176,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2628,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,182,185,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2629,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,185,187,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2630,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,188,191,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2631,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,193,196,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2632,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,198,202,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2633,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,211,215,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2634,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,223,225,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2635,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,225,229,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2636,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,239,242,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2637,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,260,269,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2638,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,269,273,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2639,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,273,277,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2640,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,277,294,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
2641,### $ 1246 - الوزير المغربي [370 - 418],0845Maqrizi.Muqaffa,294,317,1361,0660IbnCadim.BughyatTalab,2114,### $ الحسين بن علي بن محمد بن يوسف بن بحر بن بهرام بن المرزبان:,0660IbnCadim.BughyatTalab
