word_3,word_2,word_1,book_1,book_2,book_3,book_4,book_5,row_id,cit,book_no,uri_other,word_start,word_end,extend,new_uri
الدين,زين,فيه,0764Safadi.AcyanCasr,0764Safadi.WafiBiWafayat',,,,1216.1218,,,,,,,
الدين,شمس,العلامة,0845Maqrizi.DurarCuqud,,,,,1455,1,,,,,5,
الدين,شمس,العلامة,0845Maqrizi.Suluk,,,,,1593,1,,,,,5,
الدين,شهاب,الأديب,0874IbnTaghribirdi.NujumZahira,,,,,1316,1,,,,,5,
الدين,شهاب,الرئيس,0626YaqutHamawi.MucjamUdaba,0845Maqrizi.MusawwadatMawaciz,,,,876,,,,,,,
الدين,شهاب,الرئيس,0626YaqutHamawi.MucjamUdaba,,,,,875,,,,,,,
الدين,شهاب,الشيخ,0465IbnHawazinQushayri.RisalaQushayriyya,,,,,1606,,,,,,,
الدين,صلاح,العلامة,0764Safadi.AcyanCasr,0764Safadi.WafiBiWafayat',,,,1221,1,,0764Safadi,,,5,
الدين,عفيف,الإمام,0809IbnDuqmaq.NuzhatAnam,,,,,1239,,,,,,,
الدين,علاء,الرئيس,0428IbnSina.QanunFiTibb,0696AshrafIbnYusufTurkumani.Muctamid,0750IbnQasimKilani.SharhFusulAbuqrat,,,216,,,,,,,
الدين,علاء,الرئيس,0428IbnSina.QanunFiTibb,0696AshrafIbnYusufTurkumani.Muctamid,,,,215,,,,,,,
الدين,فتح,الشيخ,0465IbnHawazinQushayri.RisalaQushayriyya,,,,,1606,,,,,,,
الدين,فخر,الإمام,0255Jahiz.Hayawan,,,,,449,,,,,,,
الدين,فخر,الإمام,0375AnonymousTranslator.TarikhCalamUrusiyus,,,,,450.451,,,,,,,
الدين,محيي,القاضي,0692IbnCabdZahir.RawdaBahiyya,,,,,1249,1,1,,,,5,
الدين,موفق,العلامة,0385IbnNadim.Fihrist,,,,,343,,,,,,,
الدين,نجم,الشيخ,0654SibtIbnJawzi.MiratZaman,0733Nuwayri.NihayatArab,0809IbnDuqmaq.NuzhatAnam,0845Maqrizi.Suluk,,599,,,,,,,
الدين,نجم,الشيخ,0733Nuwayri.NihayatArab,0845Maqrizi.Suluk,,,,598,,,,,,,
الدين,نور,شاعرهم,0692IbnCabdZahir.RawdaBahiyya,,,,,1179,,,,,,,
الدينوري,حنيفة,أبو,0487AbuCubaydBakri.MucjamMaIstacjama,0930IbnIyas.NuzhatUmam,,,,557,1,,0282AbuHanifaDinawari,,,5,
الدينوري,حنيفة,أبو,0930IbnIyas.BadaicZuhur',0930IbnIyas.NuzhatUmam,,,,555.556,,,,,,,
الذخائر,كتاب,في,0460Anonymous.DhakhairTuhaf,0845Maqrizi.ItticazHunafa,,,,959,1,1,,,,4,
الذخائر,كتاب,في,0588IbnMamun.AkhbarMisr,,,,,956,,,,,,,
الذخائر,كتاب,في,0617IbnTuwayr.NuzhatMuqlatayn,,,,,965.966,,,,,,,
الذخائر,كتاب,في,0733Nuwayri.NihayatArab,0845Maqrizi.MusawwadatMawaciz,,,,926,,,,,,,
الذخائر,كتاب,في,0845Maqrizi.ItticazHunafa,,,,,963.1138,,,,,,,
الذي,الكتاب,في,0692IbnCabdZahir.RawdaBahiyya,,,,,1458,1,,,,,5,
الذي,الله,الحمد,0654SibtIbnJawzi.MiratZaman,,,,,1376,0,,,,,,
الرحمن,عبد,له,0350MuhammadKindi.WulatMisr,,,,,1521,0,,,,,,
الرحمن,عبد,له,0845Maqrizi.Muqaffa,,,,,1522,,,,,,,
