parent_cl_book,level_1_book,level_2_book,level_3_book,ms,row_id
['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster,235,320
['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster,235,321
['0930IbnIyas.NuzhatUmam'],No Cluster,No Cluster,No Cluster,243,324
['0930IbnIyas.NuzhatUmam'],['0807IbnFurat.TarikhDuwal'],No Cluster,No Cluster,244,325
['0733Nuwayri.NihayatArab'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster,257,337
['0911Suyuti.TuhfatKiram'],['0911Suyuti.HusnMuhadara'],['0649MuhammadIdrisi.Anwar'],['0600PseudoMascudi.AkhbarZaman'],258,338
['0911Suyuti.TuhfatKiram'],['0600PseudoMascudi.AkhbarZaman'],['0911Suyuti.HusnMuhadara'],No Cluster,258,339
['0733Nuwayri.NihayatArab'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster,258,340
['0814IbnZayyat.KawakibSayyara'],['0626YaqutHamawi.MucjamBuldan'],No Cluster,No Cluster,267,346
['0626YaqutHamawi.MucjamBuldan'],['0626YaqutHamawi.MucjamBuldan'],No Cluster,No Cluster,271,356
['0626YaqutHamawi.MucjamBuldan'],['0528HakamIbnAbiSalt.Diwan'],No Cluster,No Cluster,271,357
['0626YaqutHamawi.MucjamBuldan'],['0930IbnIyas.NuzhatUmam'],['0649MuhammadIdrisi.Anwar'],No Cluster,271,358
['0681IbnKhallikan.WafayatAcyan'],['0597CimadDinKatibIsfahani.BustanJamic'],No Cluster,No Cluster,271,359
['0681IbnKhallikan.WafayatAcyan'],['0626YaqutHamawi.MucjamBuldan'],['0626YaqutHamawi.MucjamBuldan'],No Cluster,272,360
['0681IbnKhallikan.WafayatAcyan'],['0626YaqutHamawi.MucjamBuldan'],['0565AbuHamidGharnati.TuhfatAlbab'],No Cluster,272,361
['0681IbnKhallikan.WafayatAcyan'],['0649MuhammadIdrisi.Anwar'],No Cluster,No Cluster,272,362
['0649MuhammadIdrisi.Anwar'],['0450AbuHasanMawardi.AdabDunyaWaDin'],No Cluster,No Cluster,272,363
['0930IbnIyas.NuzhatUmam'],['0629CabdLatifBaghdadi.IfadaWaIctibar'],['0629CabdLatifBaghdadi.IfadaWaIctibar'],No Cluster,277,366
['0930IbnIyas.NuzhatUmam'],['0629CabdLatifBaghdadi.IfadaWaIctibar'],['0629CabdLatifBaghdadi.IfadaWaIctibar'],No Cluster,277,367
['0596IbnWasifShah.MukhtasarCajaibDunya'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster,296,384
['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster,299,385
['0930IbnIyas.NuzhatUmam'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster,300,386
['0930IbnIyas.NuzhatUmam'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster,No Cluster,300,387
['0930IbnIyas.NuzhatUmam'],No Cluster,No Cluster,No Cluster,301,388
['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster,No Cluster,302,389
['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster,304,392
['0930IbnIyas.NuzhatUmam'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster,304,393
['0930IbnIyas.NuzhatUmam'],['0930IbnIyas.NuzhatUmam'],No Cluster,No Cluster,304,394
['0487AbuCubaydBakri.MasalikWaMamalik'],['0487AbuCubaydBakri.MasalikWaMamalik'],No Cluster,No Cluster,310,399
['0596IbnWasifShah.MukhtasarCajaibDunya'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster,310,400
