,uri,ms
103,0588IbnMamun.AkhbarMisr,1083
104,0588IbnMamun.AkhbarMisr,1085
105,0588IbnMamun.AkhbarMisr,1086
106,0588IbnMamun.AkhbarMisr,1094
107,0588IbnMamun.AkhbarMisr,1095
108,0588IbnMamun.AkhbarMisr,1101
109,0588IbnMamun.AkhbarMisr,1102
110,0588IbnMamun.AkhbarMisr,1103
111,0588IbnMamun.AkhbarMisr,1105
112,0588IbnMamun.AkhbarMisr,1106
113,0588IbnMamun.AkhbarMisr,1107
114,0588IbnMamun.AkhbarMisr,1108
115,0588IbnMamun.AkhbarMisr,1165
116,0588IbnMamun.AkhbarMisr,1166
117,0588IbnMamun.AkhbarMisr,1570
118,0588IbnMamun.AkhbarMisr,1571
119,0588IbnMamun.AkhbarMisr,1695
120,0588IbnMamun.AkhbarMisr,1714
121,0588IbnMamun.AkhbarMisr,1715
122,0588IbnMamun.AkhbarMisr,1756
123,0588IbnMamun.AkhbarMisr,2036
124,0588IbnMamun.AkhbarMisr,2037
125,0588IbnMamun.AkhbarMisr,2038
126,0629CabdLatifBaghdadi,1944
127,0487AbuCubaydBakri.MucjamMaIstacjama,420
128,0487AbuCubaydBakri.MucjamMaIstacjama,429
129,0487AbuCubaydBakri.MucjamMaIstacjama,430
130,0487AbuCubaydBakri.MucjamMaIstacjama,467
131,0487AbuCubaydBakri.MucjamMaIstacjama,525
132,0487AbuCubaydBakri.MucjamMaIstacjama,654
133,0440AbuRayhanBiruni,270
134,0346Mascudi,8
135,0346Mascudi,15
136,0346Mascudi.MurujDhahab,59
137,0346Mascudi.MurujDhahab,60
138,0346Mascudi.MurujDhahab,84
139,0346Mascudi.MurujDhahab,87
142,0346Mascudi.MurujDhahab,88
147,0346Mascudi,89
148,0346Mascudi.MurujDhahab,90
150,0346Mascudi.MurujDhahab,91
153,0346Mascudi.MurujDhahab,92
154,0346Mascudi,111
155,0346Mascudi.MurujDhahab,112
157,0346Mascudi,113
158,0346Mascudi.MurujDhahab,134
159,0346Mascudi.MurujDhahab,135
163,0346Mascudi.MurujDhahab,148
164,0346Mascudi.MurujDhahab,150
165,0346Mascudi.MurujDhahab,151
166,0346Mascudi.MurujDhahab,152
167,0346Mascudi.MurujDhahab,163
169,0346Mascudi.MurujDhahab,340
174,0346Mascudi.MurujDhahab,341
179,0346Mascudi.MurujDhahab,342
181,0346Mascudi.MurujDhahab,343
184,0346Mascudi.MurujDhahab,365
185,0346Mascudi,391
186,0346Mascudi.MurujDhahab,392
187,0346Mascudi,424
188,0346Mascudi.MurujDhahab,428
191,0346Mascudi.MurujDhahab,429
192,0346Mascudi.MurujDhahab,453
195,0346Mascudi.MurujDhahab,454
198,0346Mascudi.MurujDhahab,531
200,0346Mascudi.MurujDhahab,537
201,0346Mascudi.MurujDhahab,605
203,0346Mascudi.MurujDhahab,1108
205,0346Mascudi.MurujDhahab,2175
206,Anonymous,13
207,Anonymous,15
208,Anonymous,55
209,Anonymous,143
210,Anonymous,149
211,Anonymous,209
212,Anonymous,241
213,Anonymous,278
214,Anonymous,339
215,Anonymous,372
216,Anonymous,482
217,Anonymous,497
218,Anonymous,508
219,Anonymous,614
220,Anonymous,646
221,Anonymous,1107
222,Anonymous,1722
223,Anonymous,1859
224,Anonymous,2139
225,Anonymous,2140
226,0257IbnCabdHakam.FutuhMisr,47
227,0257IbnCabdHakam.FutuhMisr,48
228,0257IbnCabdHakam.FutuhMisr,61
229,0257IbnCabdHakam.FutuhMisr,62
230,0257IbnCabdHakam.FutuhMisr,63
231,0257IbnCabdHakam.FutuhMisr,64
232,0257IbnCabdHakam.FutuhMisr,65
233,0257IbnCabdHakam.FutuhMisr,83
234,0257IbnCabdHakam.FutuhMisr,84
235,0257IbnCabdHakam.FutuhMisr,85
236,0257IbnCabdHakam.FutuhMisr,86
237,0257IbnCabdHakam.FutuhMisr,110
238,0257IbnCabdHakam.FutuhMisr,129
239,0257IbnCabdHakam.FutuhMisr,130
240,0257IbnCabdHakam.FutuhMisr,131
241,0257IbnCabdHakam.FutuhMisr,132
242,0257IbnCabdHakam.FutuhMisr,158
243,0257IbnCabdHakam.FutuhMisr,160
244,0257IbnCabdHakam.FutuhMisr,167
245,0257IbnCabdHakam.FutuhMisr,168
246,0257IbnCabdHakam.FutuhMisr,169
247,0257IbnCabdHakam.FutuhMisr,172
248,0257IbnCabdHakam.FutuhMisr,173
249,0257IbnCabdHakam.FutuhMisr,174
250,0257IbnCabdHakam.FutuhMisr,175
251,0257IbnCabdHakam.FutuhMisr,176
252,0257IbnCabdHakam.FutuhMisr,177
253,0257IbnCabdHakam.FutuhMisr,178
254,0257IbnCabdHakam.FutuhMisr,179
255,0257IbnCabdHakam.FutuhMisr,180
256,0257IbnCabdHakam.FutuhMisr,307
257,0257IbnCabdHakam.FutuhMisr,321
258,0257IbnCabdHakam.FutuhMisr,323
259,0257IbnCabdHakam.FutuhMisr,326
260,0257IbnCabdHakam.FutuhMisr,327
261,0257IbnCabdHakam.FutuhMisr,336
262,0257IbnCabdHakam.FutuhMisr,337
263,0257IbnCabdHakam.FutuhMisr,338
264,0257IbnCabdHakam.FutuhMisr,339
265,0257IbnCabdHakam.FutuhMisr,340
266,0257IbnCabdHakam.FutuhMisr,361
267,0257IbnCabdHakam.FutuhMisr,362
268,0257IbnCabdHakam.FutuhMisr,363
269,0257IbnCabdHakam.FutuhMisr,364
270,0257IbnCabdHakam.FutuhMisr,373
271,0257IbnCabdHakam.FutuhMisr,374
272,0257IbnCabdHakam.FutuhMisr,375
273,0257IbnCabdHakam.FutuhMisr,376
274,0257IbnCabdHakam.FutuhMisr,377
275,0257IbnCabdHakam.FutuhMisr,378
276,0257IbnCabdHakam.FutuhMisr,379
277,0257IbnCabdHakam.FutuhMisr,380
278,0257IbnCabdHakam.FutuhMisr,381
279,0257IbnCabdHakam.FutuhMisr,382
280,0257IbnCabdHakam.FutuhMisr,383
281,0257IbnCabdHakam.FutuhMisr,384
282,0257IbnCabdHakam.FutuhMisr,385
283,0257IbnCabdHakam.FutuhMisr,386
284,0257IbnCabdHakam.FutuhMisr,387
285,0257IbnCabdHakam.FutuhMisr,388
286,0257IbnCabdHakam.FutuhMisr,433
287,0257IbnCabdHakam.FutuhMisr,468
288,0257IbnCabdHakam.FutuhMisr,470
289,0257IbnCabdHakam.FutuhMisr,471
290,0257IbnCabdHakam.FutuhMisr,475
291,0257IbnCabdHakam.FutuhMisr,476
292,0257IbnCabdHakam.FutuhMisr,477
293,0257IbnCabdHakam.FutuhMisr,478
294,0257IbnCabdHakam.FutuhMisr,557
295,0257IbnCabdHakam.FutuhMisr,558
296,0257IbnCabdHakam.FutuhMisr,559
297,0257IbnCabdHakam.FutuhMisr,560
298,0257IbnCabdHakam.FutuhMisr,561
299,0257IbnCabdHakam.FutuhMisr,562
300,0257IbnCabdHakam.FutuhMisr,563
301,0257IbnCabdHakam.FutuhMisr,569
302,0257IbnCabdHakam.FutuhMisr,654
303,0257IbnCabdHakam.FutuhMisr,656
304,0257IbnCabdHakam.FutuhMisr,657
305,0257IbnCabdHakam.FutuhMisr,658
306,0257IbnCabdHakam.FutuhMisr,659
307,0257IbnCabdHakam.FutuhMisr,660
308,0257IbnCabdHakam.FutuhMisr,661
309,0257IbnCabdHakam.FutuhMisr,662
310,0257IbnCabdHakam.FutuhMisr,663
311,0257IbnCabdHakam.FutuhMisr,664
312,0257IbnCabdHakam.FutuhMisr,665
313,0257IbnCabdHakam.FutuhMisr,666
314,0257IbnCabdHakam.FutuhMisr,667
315,0257IbnCabdHakam.FutuhMisr,668
316,0257IbnCabdHakam.FutuhMisr,669
317,0257IbnCabdHakam.FutuhMisr,670
318,0257IbnCabdHakam.FutuhMisr,671
319,0257IbnCabdHakam.FutuhMisr,672
320,0257IbnCabdHakam.FutuhMisr,673
321,0257IbnCabdHakam.FutuhMisr,674
322,0257IbnCabdHakam.FutuhMisr,675
323,0257IbnCabdHakam.FutuhMisr,676
324,0257IbnCabdHakam.FutuhMisr,1421
325,0257IbnCabdHakam.FutuhMisr,1422
326,0257IbnCabdHakam.FutuhMisr,1432
327,0257IbnCabdHakam.FutuhMisr,1433
328,0257IbnCabdHakam.FutuhMisr,1434
329,0257IbnCabdHakam.FutuhMisr,1435
330,0257IbnCabdHakam.FutuhMisr,1436
331,0257IbnCabdHakam.FutuhMisr,1515
332,0257IbnCabdHakam.FutuhMisr,1697
333,0257IbnCabdHakam.FutuhMisr,1938
334,0257IbnCabdHakam.FutuhMisr,2230
335,0458IbnSidaMursi.MuhkamWaMuhit,1227
336,0458IbnSidaMursi.MuhkamWaMuhit,1387
337,0665AbuShama.Rawdatayn,1760
338,0310Tabari.Tarikh,350
339,0350Balawi.SiratAhmadIbnTulun,391
340,0350Balawi.SiratAhmadIbnTulun,524
341,0350Balawi.SiratAhmadIbnTulun,525
342,0350Balawi.SiratAhmadIbnTulun,1393
343,0350Balawi.SiratAhmadIbnTulun,1717
344,0350Balawi.SiratAhmadIbnTulun,1718
345,0350Balawi.SiratAhmadIbnTulun,1719
346,0350Balawi.SiratAhmadIbnTulun,1720
347,0350Balawi.SiratAhmadIbnTulun,1721
348,0350Balawi.SiratAhmadIbnTulun,1722
349,0350Balawi.SiratAhmadIbnTulun,2025
350,0350Balawi.SiratAhmadIbnTulun,2129
351,0350Balawi.SiratAhmadIbnTulun,2130
352,0692IbnCabdZahir.RawdaBahiyya,285
353,0692IbnCabdZahir.RawdaBahiyya,820
354,0692IbnCabdZahir.RawdaBahiyya,884
355,0692IbnCabdZahir.RawdaBahiyya,914
356,0692IbnCabdZahir.RawdaBahiyya,919
357,0692IbnCabdZahir.RawdaBahiyya,921
358,0692IbnCabdZahir.RawdaBahiyya,962
359,0692IbnCabdZahir.RawdaBahiyya,963
360,0692IbnCabdZahir.RawdaBahiyya,976
361,0692IbnCabdZahir.RawdaBahiyya,985
362,0692IbnCabdZahir.RawdaBahiyya,987
363,0692IbnCabdZahir.RawdaBahiyya,999
364,0692IbnCabdZahir.RawdaBahiyya,1001
365,0692IbnCabdZahir.RawdaBahiyya,1002
366,0692IbnCabdZahir.RawdaBahiyya,1003
367,0692IbnCabdZahir.RawdaBahiyya,1014
368,0692IbnCabdZahir.RawdaBahiyya,1030
369,0692IbnCabdZahir.RawdaBahiyya,1035
370,0692IbnCabdZahir.RawdaBahiyya,1038
371,0692IbnCabdZahir.RawdaBahiyya,1039
372,0692IbnCabdZahir.RawdaBahiyya,1052
373,0692IbnCabdZahir.RawdaBahiyya,1053
374,0692IbnCabdZahir.RawdaBahiyya,1056
375,0692IbnCabdZahir.RawdaBahiyya,1077
376,0692IbnCabdZahir.RawdaBahiyya,1080
377,0692IbnCabdZahir.RawdaBahiyya,1092
378,0692IbnCabdZahir.RawdaBahiyya,1093
379,0692IbnCabdZahir.RawdaBahiyya,1094
380,0692IbnCabdZahir.RawdaBahiyya,1095
381,0692IbnCabdZahir.RawdaBahiyya,1112
382,0692IbnCabdZahir.RawdaBahiyya,1120
383,0692IbnCabdZahir.RawdaBahiyya,1121
384,0692IbnCabdZahir.RawdaBahiyya,1128
385,0692IbnCabdZahir.RawdaBahiyya,1129
386,0692IbnCabdZahir.RawdaBahiyya,1138
387,0692IbnCabdZahir.RawdaBahiyya,1141
388,0692IbnCabdZahir.RawdaBahiyya,1147
389,0692IbnCabdZahir.RawdaBahiyya,1148
390,0692IbnCabdZahir.RawdaBahiyya,1153
391,0692IbnCabdZahir.RawdaBahiyya,1155
392,0692IbnCabdZahir.RawdaBahiyya,1156
393,0692IbnCabdZahir.RawdaBahiyya,1167
394,0692IbnCabdZahir.RawdaBahiyya,1191
395,0692IbnCabdZahir.RawdaBahiyya,1254
396,0692IbnCabdZahir.RawdaBahiyya,1293
397,0692IbnCabdZahir.RawdaBahiyya,1301
398,0692IbnCabdZahir.RawdaBahiyya,1309
399,0692IbnCabdZahir.RawdaBahiyya,1320
400,0692IbnCabdZahir.RawdaBahiyya,1322
401,0692IbnCabdZahir.RawdaBahiyya,1323
402,0692IbnCabdZahir.RawdaBahiyya,1329
403,0692IbnCabdZahir.RawdaBahiyya,1344
404,0692IbnCabdZahir.RawdaBahiyya,1364
405,0692IbnCabdZahir.RawdaBahiyya,1392
406,0692IbnCabdZahir.RawdaBahiyya,1395
407,0692IbnCabdZahir.RawdaBahiyya,1396
408,0692IbnCabdZahir.RawdaBahiyya,1397
409,0692IbnCabdZahir.RawdaBahiyya,1406
410,0692IbnCabdZahir.RawdaBahiyya,1426
411,0692IbnCabdZahir.RawdaBahiyya,1439
412,0692IbnCabdZahir.RawdaBahiyya,1440
413,0692IbnCabdZahir.RawdaBahiyya,1443
414,0692IbnCabdZahir.RawdaBahiyya,1573
415,0692IbnCabdZahir.RawdaBahiyya,1574
416,0692IbnCabdZahir.RawdaBahiyya,1575
417,0692IbnCabdZahir.RawdaBahiyya,1576
418,0692IbnCabdZahir.RawdaBahiyya,1638
419,0692IbnCabdZahir.RawdaBahiyya,1717
420,0692IbnCabdZahir.RawdaBahiyya,1722
421,0692IbnCabdZahir.RawdaBahiyya,1723
422,0692IbnCabdZahir.RawdaBahiyya,1740
423,0692IbnCabdZahir.RawdaBahiyya,1746
424,0692IbnCabdZahir.RawdaBahiyya,1747
425,0692IbnCabdZahir.RawdaBahiyya,1774
426,0692IbnCabdZahir.RawdaBahiyya,1782
427,0692IbnCabdZahir.RawdaBahiyya,1796
428,0692IbnCabdZahir.RawdaBahiyya,1946
429,0692IbnCabdZahir.RawdaBahiyya,1947
430,0692IbnCabdZahir.RawdaBahiyya,1958
431,0692IbnCabdZahir.RawdaBahiyya,1959
432,0692IbnCabdZahir.RawdaBahiyya,2037
433,0692IbnCabdZahir.RawdaBahiyya,2038
434,0692IbnCabdZahir.RawdaBahiyya,2041
435,0350MuhammadKindi.WulatMisr,161
436,0350MuhammadKindi.WulatMisr,182
437,0350MuhammadKindi.WulatMisr,183
438,0350MuhammadKindi.WulatMisr,184
439,0350MuhammadKindi.WulatMisr,185
440,0350MuhammadKindi.WulatMisr,477
441,0350MuhammadKindi.WulatMisr,478
442,0350MuhammadKindi.WulatMisr,479
443,0350MuhammadKindi.WulatMisr,480
444,0350MuhammadKindi.WulatMisr,481
445,0350MuhammadKindi.WulatMisr,670
446,0350MuhammadKindi.WulatMisr,681
447,0350MuhammadKindi.WulatMisr,682
448,0350MuhammadKindi.WulatMisr,683
449,0350MuhammadKindi.WulatMisr,684
450,0350MuhammadKindi.WulatMisr,685
451,0350MuhammadKindi.WulatMisr,686
452,0350MuhammadKindi.WulatMisr,687
453,0350MuhammadKindi.WulatMisr,688
454,0350MuhammadKindi.WulatMisr,689
455,0350MuhammadKindi.WulatMisr,690
456,0350MuhammadKindi.WulatMisr,691
457,0350MuhammadKindi.WulatMisr,692
458,0350MuhammadKindi.WulatMisr,693
459,0350MuhammadKindi.WulatMisr,694
460,0350MuhammadKindi.WulatMisr,695
461,0350MuhammadKindi.WulatMisr,1423
462,0350MuhammadKindi.WulatMisr,1436
463,0350MuhammadKindi.WulatMisr,1477
464,0350MuhammadKindi.WulatMisr,1515
465,0350MuhammadKindi.WulatMisr,1521
466,0350MuhammadKindi.WulatMisr,1522
467,0350MuhammadKindi.WulatMisr,1531
468,0350MuhammadKindi.WulatMisr,1570
469,0350MuhammadKindi.WulatMisr,1672
470,0350MuhammadKindi.WulatMisr,1675
471,0350MuhammadKindi.WulatMisr,1938
472,0350MuhammadKindi.WulatMisr,2025
473,0350MuhammadKindi.WulatMisr,2040
474,0350MuhammadKindi.WulatMisr,2086
475,0350MuhammadKindi.WulatMisr,2107
476,0350MuhammadKindi.WulatMisr,2112
477,0350MuhammadKindi.WulatMisr,2124
478,0487Bakri,282
479,0346Mascudi.MurujDhahab,119
480,0346Mascudi.MurujDhahab,263
481,0346Mascudi.MurujDhahab,264
482,0346Mascudi.MurujDhahab,404
483,0346Mascudi.MurujDhahab,405
484,0346Mascudi.MurujDhahab,452
487,0346Mascudi.MurujDhahab,462
489,0346Mascudi.MurujDhahab,1391
490,0748Adfuwi,539
491,0748Adfuwi.TalicSacid,540
492,0420Musabbihi.AkhbarMisr,166
493,0420Musabbihi.AkhbarMisr,216
494,0420Musabbihi.AkhbarMisr,415
495,0420Musabbihi.AkhbarMisr,487
496,0420Musabbihi.AkhbarMisr,605
497,0420Musabbihi.AkhbarMisr,606
498,0420Musabbihi.AkhbarMisr,1015
499,0420Musabbihi.AkhbarMisr,1046
500,0420Musabbihi.AkhbarMisr,1172
501,0420Musabbihi.AkhbarMisr,1357
502,0420Musabbihi.AkhbarMisr,1441
503,0420Musabbihi.AkhbarMisr,1682
504,0420Musabbihi.AkhbarMisr,1757
505,0420Musabbihi.AkhbarMisr,1786
506,0420Musabbihi.AkhbarMisr,2032
507,0337QudamaIbnJacfar,119
508,0241IbnHanbal,1700
509,0596QadiFadil,144
510,0596QadiFadil,251
511,0150AbuHanifa,224
512,0774IbnKathir,1736
513,0230IbnSacd.TabaqatKubra,63
514,0230IbnSacd.TabaqatKubra,1439
515,0230IbnSacd.TabaqatKubra,1728
516,0596QadiFadil.Mutajaddidat,137
517,0596QadiFadil.Mutajaddidat,197
518,0596QadiFadil.Mutajaddidat,198
519,0596QadiFadil.Mutajaddidat,199
520,0596QadiFadil.Mutajaddidat,240
521,0596QadiFadil.Mutajaddidat,245
522,0596QadiFadil.Mutajaddidat,248
523,0596QadiFadil.Mutajaddidat,422
524,0596QadiFadil.Mutajaddidat,613
525,0596QadiFadil.Mutajaddidat,641
526,0596QadiFadil.Mutajaddidat,919
527,0596QadiFadil.Mutajaddidat,933
528,0596QadiFadil.Mutajaddidat,1095
529,0596QadiFadil.Mutajaddidat,1106
530,0596QadiFadil.Mutajaddidat,1163
531,0596QadiFadil.Mutajaddidat,1356
532,0596QadiFadil.Mutajaddidat,1437
533,0596QadiFadil.Mutajaddidat,1560
534,0596IbnWasifShah.MukhtasarCajaibDunya,81
535,0596IbnWasifShah.MukhtasarCajaibDunya,159
536,0596IbnWasifShah.MukhtasarCajaibDunya,170
537,0596IbnWasifShah.MukhtasarCajaibDunya,295
538,0596IbnWasifShah.MukhtasarCajaibDunya,296
539,0596IbnWasifShah.MukhtasarCajaibDunya,297
540,0596IbnWasifShah.MukhtasarCajaibDunya,321
541,0596IbnWasifShah.MukhtasarCajaibDunya,322
542,0596IbnWasifShah.MukhtasarCajaibDunya,330
543,0596IbnWasifShah.MukhtasarCajaibDunya,335
544,0596IbnWasifShah.MukhtasarCajaibDunya,336
545,0596IbnWasifShah.MukhtasarCajaibDunya,358
546,0596IbnWasifShah.MukhtasarCajaibDunya,402
547,0596IbnWasifShah.MukhtasarCajaibDunya,403
548,0596IbnWasifShah.MukhtasarCajaibDunya,417
549,0596IbnWasifShah.MukhtasarCajaibDunya,521
550,0596IbnWasifShah.MukhtasarCajaibDunya,529
551,0596IbnWasifShah.MukhtasarCajaibDunya,530
552,0596IbnWasifShah.MukhtasarCajaibDunya,533
553,0596IbnWasifShah.MukhtasarCajaibDunya,534
554,0596IbnWasifShah.MukhtasarCajaibDunya,536
555,0596IbnWasifShah.MukhtasarCajaibDunya,537
556,0596IbnWasifShah.MukhtasarCajaibDunya,540
557,0596IbnWasifShah.MukhtasarCajaibDunya,543
558,0596IbnWasifShah.MukhtasarCajaibDunya,545
559,0596IbnWasifShah.MukhtasarCajaibDunya,547
560,0596IbnWasifShah.MukhtasarCajaibDunya,548
561,0596IbnWasifShah.MukhtasarCajaibDunya,549
562,0596IbnWasifShah.MukhtasarCajaibDunya,550
563,0596IbnWasifShah.MukhtasarCajaibDunya,551
564,0596IbnWasifShah.MukhtasarCajaibDunya,552
565,0596IbnWasifShah.MukhtasarCajaibDunya,553
566,0596IbnWasifShah.MukhtasarCajaibDunya,612
567,0596IbnWasifShah.MukhtasarCajaibDunya,789
568,0596IbnWasifShah.MukhtasarCajaibDunya,2182
569,0596IbnWasifShah.MukhtasarCajaibDunya,2183
570,0262CumarIbnShabba,112
571,0367IbnHawqal.SuratArd,261
572,0367IbnHawqal.SuratArd,262
573,0630IbnAbiTayyi,924
574,0630IbnAbiTayyi,961
575,0630IbnAbiTayyi,985
576,0630IbnAbiTayyi,991
577,0630IbnAbiTayyi,998
578,0630IbnAbiTayyi,1028
579,0630IbnAbiTayyi,1555
580,0630IbnAbiTayyi,1758
581,0730ShaficIbnCali,523
582,0730ShaficIbnCali,2106
583,0300IbnKhurdadhbih.MasalikWaMamalik,487
584,0209AbuCubayda,915
585,0198SufyanIbnCuyayna,219
586,0454Qudaci,378
587,0454Qudaci,1436
588,0454Qudaci,1473
589,0454Qudaci,1515
590,0454Qudaci,1720
591,0454Qudaci,2126
592,0646IbnBaytarAndalusi.JamicLiMufradat,1403
593,0606IbnMamati.QawaninDawawin,161
594,0375AnonymousTranslator.TarikhCalamUrusiyus,19
595,0375AnonymousTranslator.TarikhCalamUrusiyus,20
596,0375AnonymousTranslator.TarikhCalamUrusiyus,346
597,0375AnonymousTranslator.TarikhCalamUrusiyus,347
598,0375AnonymousTranslator.TarikhCalamUrusiyus,352
599,0375AnonymousTranslator.TarikhCalamUrusiyus,353
600,0375AnonymousTranslator.TarikhCalamUrusiyus,354
601,0375AnonymousTranslator.TarikhCalamUrusiyus,544
602,0182AbuYusufYacqub.Kharaj,1389
607,0182AbuYusufYacqub.Athar,1389
608,0182AbuYusufYacqub.Kharaj,1390
610,0182AbuYusufYacqub.Kharaj,1391
615,0000Aristutulis,145
616,0000Aristutulis,163
617,0000Aristutulis,359
618,0279Baladhuri,462
619,0279Baladhuri,1387
620,0279Baladhuri.AnsabAshraf,1388
621,0279Baladhuri,1437
622,0279Baladhuri.AnsabAshraf,1730
623,0279Baladhuri.AnsabAshraf,1731
625,0458Bayhaqi,1895
626,0255Jahiz.Hayawan,44
627,0255Jahiz.Hayawan,45
628,0255Jahiz.Hayawan,53
629,0255Jahiz.Hayawan,66
630,0255Jahiz.Hayawan,352
631,0255Jahiz.Hayawan,444
632,0255Jahiz.Hayawan,1387
633,0383IbnCabbasKhwarizmi,15
634,0383IbnCabbasKhwarizmi,18
635,0388Shabushti.Diyarat,2231
636,0388Shabushti.Diyarat,2232
637,0388Shabushti.Diyarat,2233
638,0388Shabushti.Diyarat,2234
639,0388Shabushti.Diyarat,2240
640,0388Shabushti.Diyarat,2245
641,0000Disquridus,148
642,0000Dimquratus,15
643,0000Hirmus,22
644,0000Hirmus,262
645,0626YaqutHamawi,1120
646,0626YaqutHamawi,1163
647,0626YaqutHamawi,1173
648,0626YaqutHamawi,1406
649,0626YaqutHamawi,1425
650,0626YaqutHamawi,2105
651,0626YaqutHamawi.MucjamBuldan,2106
652,0626YaqutHamawi.MucjamUdaba,2106
653,0626YaqutHamawi.MucjamBuldan,2234
655,0626YaqutHamawi.Khazal,2234
657,0626YaqutHamawi.MucjamBuldan,2235
658,0626YaqutHamawi,2243
659,0596IbnWasifShah,282
660,0000Abaqrat0000Btulimus,94
661,0280IbnTayfur,627
662,0697IbnWasil,924
663,0231IbnZiyadAcrabi,46
664,0231IbnZiyadAcrabi,1292
665,0542IbnMunjibTajRiyasaIbnSayrafi,1121
666,0542IbnMunjibTajRiyasaIbnSayrafi,2087
667,0617IbnTuwayr.NuzhatMuqlatayn,109
