ms,word_7,word_6,word_5,word_4,word_3,word_2,word_1
153,بطليموس,عن,المنجم,يونس,بن,سامر,ابو
153,الي,الشمس,انتقال,عند,ينظر,معشر,ابو
155,في,البيروني,احمد,بن,محمد,الريحان,ابو
155,الي,فعمد,تقدم,اذا,انه,التجارب,اصحاب
155,عيد,بمصر,يعمل,كان,ومما,الشهيد,عيد
163,ما,ذكر,الكتاب,هذا,من,موضعه,في
163,ما,علي,مصر,ارض,كانت,وقد,المسعودي
166,سلامه,بن,محمد,الله,عبد,ابو,القاضي
166,انه,الديوان,وامر,بالخراج,معرفه,له,من
167,من,مصر,اراضي,في,يعمل,كان,ما
170,قال,الاول,الزمن,في,مصر,خراج,مقدار
170,الفراعنه,ايام,في,مصر,وجبيت,دحيه,ابن
170,البرابي,بعض,في,وجد,انه,الجواني,الشريف
171,بن,الحسن,خبر,في,كما,فيه,ما
171,قال,ابي,اخبرني,الاسدي,علي,بن,الحسن
172,قمح,بويبه,فرعون,ارسل,الذي,الوقت,في
172,في,مصر,فتح,عند,المسلمون,عمله,ما
172,ابيه,عن,سهيل,حدثنا,معاويه,بن,زهير
172,وسلم,عليه,الله,صلي,الله,رسول,قال
172,عليه,الله,صلي,اخبر,قد,عبيد,ابو
181,معاشا,الزرع,واتخاذهم,مصر,بريف,العرب,نزول
187,كتاب,الماردانيين,اخبار,كتاب,في,ذولاق,ابن
187,علي,بالندا,امر,الساعه,بكر,ابو,له
187,فعقدت,الحسن,ابي,علي,اعقدوها,بكر,ابو
187,بكر,ابا,يعني,الشيخ,رايت,يعقوب,ابو
187,الف,عشرين,نحو,عندي,الحسن,ابو,له
187,بالمبلغ,خطه,وجاه,اليه,فانفذها,بها,جني
187,عليها,ما,غلقت,قد,الصفقه,تلك,له
187,لك,قلت,انما,العجز,هذا,ما,المارداني
188,ما,فقبض,خطه,عليه,رد,الحسن,لابي
188,معد,الله,لدين,المعز,سيره,كتاب,في
188,بن,الحسن,للدين,الناصر,الوزير,سيره,جامع
188,لا,ما,الي,السفلي,الارض,ارتفاع,وانتهي
192,الماده,بالعقود,اوفوا,امنوا,الذين,ايها,يا
192,كان,ومن,والمشارف,الوالي,من,المكاتبه,ووصلته
199,بمفرده,اقطاعه,الجندي,وكان,الناصري,الاخير,الروك
200,عشره,خمس,سنه,وفي,الناصريه,السيره,جامع
204,ما,وهو,الجراريف,ومتوفر,معين,مقرر,وانثي
207,راكب,وهو,الناصري,الروك,اجناد,بعض,وجدت
207,الله,شا,ان,مصر,اقليم,خراب,اسباب
208,الماوردي,الحسن,ابو,القضاه,اقضي,قال,الديوان
208,الاسم,بهذا,موضعهم,فسمي,مجانين,اي,ديوانه
208,حازم,ابو,حدثني,قال,الوراق,النمر,ابو
208,لو,المدبر,بن,الحسن,ابو,لي,قال
208,وعشرون,ثمانيه,للزراعه,مساحتها,مصر,ارض,ان
208,يتقلد,كان,انه,المدبر,ابن,لي,وقال
208,حتي,الليالي,من,ليله,قط,ابت,ولم
211,عنهما,الله,رضي,عباس,ابن,عن,الضحاك
211,فاحضروني,اجتمعوا,للناس,عنه,الله,رضي,عمر
211,المسلمين,مجيد,اني,عنه,الله,رضي,عمر
211,رضي,وعلي,وعثمان,عوف,بن,الرحمن,عبد
211,صلي,الله,رسول,بعم,الا,ابدا,لا
218,ابا,ان,حديث,في,الساب,بن,عطا
218,له,فرض,انه,هلال,بن,حميد,عن
218,فرضوا,الذي,ان,تاريخه,في,الاثير,ابن
218,لك,ليس,عنه,الله,رضي,علي,له
218,قوته,ياخذ,علي,قال,ما,القول,القوم
218,الش,من,طافه,اقتطع,يقال,والاقطاعات,القطاع
221,عن,الجعفي,جابر,عن,سفيان,عن,وكيع
221,عمر,ان,يبلغنا,ولم,سعد,بن,الليث
221,موسي,عن,المهاجر,بن,ابراهيم,عن,الاعمش
221,الله,عبد,عنه,الله,رضي,عثمان,اقطع
221,محمد,بن,عمرو,عن,عمر,بن,سيف
221,مسعود,ابن,الله,وعبد,وخباب,الزبير,اقطع
227,الفي,الهاشمي,عيسي,بن,موسي,منها,وحمل
227,سبع,النيل,بلغ,اذا,مصر,خراج,وكان
227,من,حط,قال,نعمل,كيف,الاخشيد,له
227,من,اتاه,فلما,هذا,وتدبر,تجيني,غدا
227,فاذا,قلت,فيما,فكرت,قد,الاخشيد,له
227,وما,تسبيحا,فقال,الله,سبحان,كلا,ابن
227,جاه,يعمل,كان,ايش,اسمعوا,قوم,يا
227,ولا,معامله,السلطان,وبين,بيني,ما,له
227,لا,فقلت,مطالبه,المارداني,ابن,قبل,لك
227,وجه,علي,جاتك,قد,دينار,الف,هذه
229,الجيوش,امير,بن,الافضل,ان,ميسر,ابن
229,البلاد,عبر,انه,مياوماته,في,الفاضل,القاضي
230,ان,اعلم,زراعتها,واقسام,مصر,اراضي,اصناف
231,عباره,فانها,البلديه,الجسور,واما,الخراب,اسباب
232,الفلاحه,كتاب,في,وحشيه,بن,بكر,ابو
232,من,يخرج,زرعوا,اذا,مصر,في,ان
236,خراج,المنهاج,كتاب,في,الحسن,ابو,القاضي
236,مصر,مال,ان,اعلم,مصر,مال,اقسام
238,ثم,الكتاب,هذا,من,الطولوني,الجامع,اخبار
240,وخمسماه,تسعين,سنه,متجددات,في,الفاضل,القاضي
242,بالارجل,يداس,تعالي,الله,جعله,الذي,القمح
242,الامير,بلاد,غير,ارب,عندنا,لابليس,ليس
242,عطل,قد,الجزار,الحسين,ابو,الفاضل,الاديب
248,وستين,سبع,سنه,متجددات,في,الفاضل,القاضي
248,سبع,لسنه,الجوالي,ارتفاع,عليه,انعقد,والذي
248,احمدان,ابن,واستخدم,وثمانين,ثمان,سنه,في
248,اهل,لها,بالعزيز,يتسمي,من,كان,ما
254,الاموال,وهي,البراطيل,واما,الخراب,اسباب,في
260,هذا,معناه,لهم,فقيل,موته,قبل,صاحبهم
260,بنا,في,فكرت,الطبيب,رضوان,بن,علي
262,حمل,وانما,كذلك,وليس,قبران,انهما,قوم
262,الوراق,النديم,اسحاق,بن,محمد,يعقوب,ابو
265,علي,مكتوبا,وجد,انه,البلخي,زيد,ابو
265,مما,يوجد,لم,الاكليل,كتاب,في,الهمداني
265,الرحيم,عبد,بن,الله,عبد,محمد,ابو
265,مربعه,قبه,فرايت,داخله,في,دخلت,وقد
274,بعض,وذكر,الذهب,خراج,من,خير,هذا
274,قد,الاهرام,عن,البنيان,عجاب,كتاب,في
278,بن,جعفر,بن,حسن,بن,الوهاب,عبد
278,عجيبه,اي,لله,جباره,بن,الدين,سيف
278,التيفاشي,يوسف,بن,احمد,العباس,ابو,الامام
278,فالفضل,مصرهم,سكان,من,للماضين,كان,قد
278,الاول,من,الحدثان,علي,باق,لا,خليلي
281,يسجد,كما,لقبره,يسجدون,وصاروا,ظلما,قتل
281,محصوره,باسرها,مصر,ارض,ان,اعلم,الجبال
281,اوله,المقطم,الجبل,ان,اعلم,المقطم,الجبل
287,اليه,يحتاج,ما,ويستدعي,بذلك,يهتم,مروه
287,كل,ولا,جسيم,وخطرها,عظيمه,الالات,هذه
287,معه,يعتمد,ذلك,يتولي,الذي,ان,يحتاج
287,وما,ولدده,نفسه,مدح,في,اكثر,لقد
287,واقرب,ماخذ,باسهل,الغرض,يبلغ,من,هنا
287,واحدا,منهم,رصد,ومن,العلم,في,القدما
287,كبير,احتاج,ما,فقال,تحتاج,ش,اي
287,مستخدم,انا,فقال,لنفسه,جار,له,يطلق
287,ينفق,ما,فقال,اليه,يحتاج,تقول,كم
287,الارض,يقبل,المملوك,فيها,فكتب,ورقه,هاتوا
288,اعماله,شوهدت,اذا,بعد,فيما,هذا,القاد
288,سمع,ما,التي,العظيمه,الاله,هذه,مثل
289,وصحت,فسبكت,اعادتها,في,اهتم,الافضل,له
290,اهون,كان,منها,اختصرت,لو,الافضل,له
290,حلقه,اعمل,ان,امكنني,لو,نعمتك,وحق
290,واي,يوم,كل,اليهم,اطلع,المامون,له
308,الرحمن,عبد,بن,محمد,الله,عبد,ابو
308,الاندلسي,العزيز,عبد,بن,اميه,الصلت,ابو
311,بيصر,بن,مصر,بعد,الحكيم,عبد,ابن
329,مدان,اعظم,من,المدينه,هذه,الاسكندريه,مدينه
330,والبحار,الجزار,ووصف,الاقاليم,كتاب,في,بطليموس
331,له,وضمن,وعجابها,مصر,كنوز,كثره,له
331,فراعنه,اول,طوطيس,ابنه,جورياق,جلست,ولما
347,بن,محمد,الريحان,ابو,قال,الاسكندر,تاريخ
348,قيس,بن,علي,بن,احمد,بكر,ابو
348,اسم,كتبهم,في,وجدت,ما,بحسب,القبط
353,وثلاثين,ثمانيا,وقيل,سنه,اربعين,ولي,غيره
353,شابا,عالما,حكيما,هذا,بطليموس,وكان,غيره
360,واربعين,اربع,سنه,رمضان,شهر,في,وتهدم
360,وثلاثه,ذراع,ماتي,فكان,قاسه,انه,بعضهم
362,وسط,في,كانت,المناره,ان,العلم,اهل
362,اربعه,الدنيا,وعجاب,عمر,بن,الله,عبد
362,وغيره,بالاسكندريه,كان,الذي,الملعب,ذكر,الثلاثه
368,قال,قاماتهم,لطول,العماد,ذات,سموا,بعضهم
368,ذراعا,عشر,اثني,احدهم,طول,كان,مقاتل
368,المقتدر,خلافه,في,وجد,انه,واحد,غير
368,في,ذراعا,ستون,طوله,ادم,الله,حلق
368,بن,سليمان,بن,الرحيم,عبد,بن,محمد
368,ان,الملوك,سير,كتاب,في,الشعبي,نقل
368,ورايت,باشقرد,في,صورهم,رايت,وقد,الاقليشي
372,الحسن,ابي,بن,مكرم,بن,الدين,جلال
372,الكبار,الروم,مراكب,ووصف,فيه,والامواج,البحر
372,ذوات,الي,الفسطاط,من,جرداديه,بن,احمد
373,لما,الكندي,عمرو,ابو,قال,الاسكندريه,فتح
373,منها,الاخره,جمادي,في,سار,بل,غيره
373,العاص,بن,عمرو,ان,عمر,بن,سيف
373,لا,قال,هن,ما,قال,ثلاثا,اسالك
373,عمرو,فخرج,قال,علينا,اهونهن,هذه,عمرو
387,كل,في,وانما,فركبوا,اركبوا,الله,عبد
387,والنشاب,بالنبل,اقتتلوا,قد,قالوا,فعلوا,ما
387,فعلوا,ما,فقال,اتوه,ثم,الروم,غلبت
387,فعلوا,ما,فقال,اتوه,ثم,الروم,غلبت
387,تقرن,ذاك,اذ,السفن,وكانت,الروم,غلبت
387,الامير,وهو,يومذ,الله,عبد,مركب,فقرن
387,علي,وله,خطبها,قد,علقمه,ان,له
387,تمالكوا,ان,تقدرون,ما,بكم,اصنع,ما
391,مشايخ,من,حدثه,عمن,الطرطوسي,بكر,ابو
391,للرعيه,مطلق,الخليج,في,والصيد,الاسكندريه,شاهدت
391,عن,الموالي,كتاب,في,الكندي,عمرو,ابو
391,الكتاب,وورد,الاسكندريه,خليج,وحفر,وقال,سيرته
391,بلاد,عن,انقطع,النيل,كان,وقد,المسعودي
392,اولها,المنافع,من,ذلك,في,ما,له
395,بن,السري,اقتتل,فلما,المعافري,جناده,بن
399,اثنتي,سنه,وفي,القصر,خزان,ذكر,عند
400,الجيوش,امير,يا,اعذرنا,عوف,ابن,له
400,كان,خفا,الفرنجي,فاخذ,يحل,ما,هذا
403,علي,ليس,بمصر,كور,اربع,الكندي,ابن
403,باثنتين,المنقوطه,التا,بكسر,تنيس,تنيس,مدينه
407,فما,لنفسك,تدعو,لا,لم,قومه,له
412,فوجدت,ايام,خمسه,منذ,بها,تزوجت,الرجل
412,احمد,نصر,ابو,حدثني,الكندي,عمرو,ابو
412,سمعت,قال,الاحد,عبد,بن,يس,حدثني
412,ابي,عن,لهيعه,بن,الله,عبد,حدثنا
412,كان,اذا,بكم,كيف,مصر,اهل,يا
415,فعل,وسانا,السلطان,بخزانه,هذا,يفعل,كيف
418,وهو,معتبر,فيه,خبر,كونه,سبب,في
421,قال,الجفار,جمله,من,الوراده,الوراده,بلد
421,اقصر,ن,بالميدا,كان,لليلك,المامون,الخليفه
426,اسرايل,ببني,سار,السلام,عليه,موسي,ان
427,كثير,واد,وهو,الكتاب,هذا,من,الاديار
427,شعيب,امه,مدين,ان,اعلم,مدين,مدينه
427,اسم,وقيل,وقطر,بلد,اسم,مدين,الفرا
429,شعيب,يا,الا,المديني,المنذر,بن,المتنصر
429,حروب,من,عجيبه,اخبار,الملوك,ولهلا,المسعودي
429,وما,البلد,اسم,وليكه,الغيضه,الايكه,قوم
429,اسم,ليكه,يعلم,ولا,النحاس,جعفر,ابو
429,وفرق,فبيعوا,السواحل,هي,وميتا,اسحاق,ابن
432,لخمس,اسم,الجفار,ان,اعلم,الجفار,ارض
432,وقيل,الارض,من,المرتفع,الصعيد,مصر,صعيد
439,بلد,عهد,صاحب,سيمون,وحدثني,النوبه,مرخ
439,من,السودان,بلاد,طرق,من,سالت,وقد
439,جبل,او,الرمل,جبال,من,يخرج,انه
441,اخبروني,فانهم,الزنج,بلاد,طرق,من,واما
441,الزنج,بلاد,من,ياتي,الاربعه,الانهار,وبعض
443,الناس,ورب,الملك,ورب,الله,وربك,ربي
443,وحده,السما,في,قال,يكون,فاين,له
443,اصابهم,او,المطر,عنهم,ابطا,اذا,انه
443,ومحمد,وعيسي,موسي,بعثه,له,فذكر,لا
443,ثم,صدقوا,فقد,هذا,فعلوا,كانوا,اذا
443,ملفه,قال,فعلوا,كانوا,ان,صدقتهم,قد
445,فتصير,الغادر,ابا,يعني,فلان,عرش,هذا
448,وسلم,عليه,الله,صلي,الله,رسول,محمدا
453,الرجل,اسي,قولهم,من,اسوان,اسوان,مدينه
453,العرب,من,خلق,يسكنها,اسوان,ومدينه,المسعودي
454,شرق,في,فرقه,فرقتين,فافترقت,النوبه,واما
454,جبل,مصر,صعيد,من,الشرقي,الجانب,وفي
454,في,اسوان,ثغر,متحصل,ان,الفاضل,القاضي
454,رسولا,ثمانون,باسوان,وكان,الادفوي,جعفر,الكمال
455,من,نحو,فيه,مكتوب,علي,انا,ووقفت
455,ورد,ومن,مدحهم,من,واسما,مناقبهم,فيها
455,اناس,اوسطا,الدهر,خانه,ان,وينجده,فيها
460,الله,عبد,كتاب,في,ليس,خليفه,ابو
460,صالح,بن,عمرو,والدي,سمعت,زكريا,ابو
460,طاهر,بن,الله,عبد,الامير,مجلس,حضرت
460,اليك,وجهنا,الذي,صالح,بن,عثمان,انت
460,اليهم,وجهنا,البلده,هذه,امر,اعجب,ما
460,الديوان,الي,الامير,فوجه,صالح,بن,عثمان
460,النوبه,بارض,اعرف,نحن,سعد,بن,الليث
461,ومحاربتهم,عصيانهم,قال,تشا,فما,ابوه,له
461,ابانا,من,السلف,راه,ش,هذا,ابوه
461,اطلاق,في,فساله,شت,ما,تمن,له
464,والمغرب,مصر,حجاج,ان,اعلم,عيذاب,صحرا
466,الصعيد,مدان,من,المدينه,هذه,الاقصر,مدينه
466,وقع,انه,الادفوي,الكمال,وذكر,هذه,البلينا
466,الخطيب,فقال,هذا,مثل,بلادكم,في,للخطيب
466,الاعياد,من,عيد,في,بها,الحكام,وبعض
466,بالمكارم,اهلها,ويوصف,للسكر,مسابك,عده,وكان
466,النيل,من,الغربي,بالجانب,المدينه,هذه,سمهود
466,لاعتصار,حجرا,عشر,سبعه,بسمهود,كان,الادفوي
466,البهنسا,عمل,جمله,من,المدينه,هذه,ارجنوس
466,البهنساويه,جمله,من,ايضا,المدينه,هذه,ابويط
466,النيل,من,الغربي,بالجانب,المدينه,هذه,ملوي
469,بفتح,وهي,دروط,ان,اعلم,بلهاسه,دروط
469,فيها,بر,حلفه,الجود,حلف,الشاعر,فيه
469,ذهب,من,ابراهيم,المغيره,ابن,فيه,الشاعر
469,ولقد,مفقودا,ماجدا,مات,احمد,فيه,الشاعر
469,به,واد,تجاهها,الاطفيحيه,من,هي,سكر
475,القاسم,ان,وذكر,القضاعي,قال,ترسا,قريه
475,عرفت,الجيزه,قري,احدي,هي,اندونه,منيه
475,عبد,وخرج,الحكم,عبد,ابن,قال,وسيم
482,امامه,بيصر,بن,مصر,ابنه,وقدم,وانثي
482,اخوه,دخول,كان,البيهقي,عن,سعيد,ابن
482,كما,فهذا,الج,للعرش,ويقال,موضعه,في
483,سبع,سنه,الاخره,جمادي,وفي,الفاضل,القاضي
483,اوله,بفتح,الفرما,البكري,قال,الفرما,مدينه
483,هذه,الفرما,ليس,كتاب,في,خالويه,ابن
486,البرزخ,وهو,البحرين,مجمع,وبها,الكندي,ابن
486,يبغيان,لا,برزخ,بينهما,يلتقيان,البحرين,مرج
486,الروم,بحر,وهما,حاجزا,البحرين,بين,وجعل
486,اللام,وسكون,القاف,بضم,القلزم,القلزم,مدينه
486,باق,اكثرها,بالقلزم,المعروف,والبلد,الطوير,ابن
495,تحصيل,له,فضمن,فيه,هو,ما,له
498,فامتنع,والشويك,الكرك,مدينه,خلا,البلاد,من
503,ساعه,تقفوا,ان,والعساكر,انت,قدرت,اما
514,اخر,في,فتزوج,السنه,من,النكاح,له
514,قال,ومتي,فقير,انا,ولا,شيخ,انا
514,ادع,سيدي,يا,خواصه,من,شخص,له
516,امير,كسا,من,كسوه,فيها,ورايت,الفاكهي
517,اعلم,ودمشق,مصر,مدينه,بين,فيما,الطريق
517,بن,الله,عبد,بن,الله,عبيد,ابو
520,مدان,جمله,من,المدينه,هذه,الرقه,مدينه
520,نزولا,وكانوا,لخم,من,القوم,اولك,قتاده
520,القديم,في,لها,يقال,وكان,شمس,عين
525,فركب,عزل,الا,قط,وال,راه,ما
525,منا,صرف,من,ندوسه,يا,خازنه,لندوسه
525,اثنتي,احمد,بعدها,وعاش,الامير,ايها,انت
525,بني,حيث,شمس,عين,حبيب,بن,محمد
525,صنم,به,تسموا,الذي,شمسا,ان,الكلبي
525,تحفه,كتاب,في,الرحيم,عبد,بن,محمد
526,ان,يريدون,ولدها,ومعها,اتت,امراه,ان
527,مدينه,فصارت,هذا,كتابنا,من,دمياط,مدينه
527,الملك,علي,ذلك,فشق,كرري,بالله,لها
527,ايا,وغنت,العود,فاخذت,انت,غني,لجاريته
532,الاعلي,الصعيد,مدن,احدي,هي,دندره,مدينه
532,الفاس,جاك,العباس,شجره,يا,عندها,الانسان
532,القبلي,الوجه,ورا,منقطعه,الواحات,الداخله,الواحات
537,الاول,القبط,ملوك,احد,بناها,الخارجه,الواحات
537,بلاد,بين,فهي,الواحات,بلاد,واما,المسعودي
540,خطيب,بكر,ابو,العدل,الخطيب,اخبرني,الادفوي
540,الغرب,جهه,في,المدينه,هذه,البهنسا,مدينه
540,المسيح,عن,تعالي,قوله,في,المفسرين,بعض
543,البلاد,نرتاد,لي,رفيق,ورجل,انا,خرجت
543,شهرين,من,نحوا,بالوادي,اقاما,انهما,فاخبرني
543,الصعيد,مدن,اعظم,من,كانت,الاشمونين,مدينه
545,من,اتي,رجلا,ان,اخميم,اهل,وذكر
545,جميع,علي,ما,فتحرق,نار,تكون,بعضهم
552,له,الممدود,المغرور,ايها,تريد,اين,للملك
552,بلغه,ولا,احد,اليه,يصل,لا,موضع
552,نقنع,النبات,اصول,من,قال,عيشك,ما
552,والثلوج,الامطار,من,قال,تشربون,اين,فمن
552,مخالطتكم,في,زهاده,قال,منا,هربتم,فلم
552,ناوي,قال,الشمس,حميت,اذا,بكم,فكيف
552,قال,لكم,اخلفه,مال,في,لكم,فهل
552,ارض,الي,اصحابه,من,بنفر,فانطلق,فارنيه
555,ذلك,راين,فلما,حاجه,بذلك,لي,ما
555,يدعونني,مما,الي,احب,السجن,رب,يوسف
555,علي,عزما,قد,وفلانا,فلانا,ان,له
555,او,اخرج,ما,يوسف,فقال,به,جيوني
557,خراب,ان,كتبنا,في,نجد,انا,الكاهن
557,لا,قال,ايامنا,في,يكون,هذا,الملك
557,فلا,تقول,كما,الامر,كان,ان,الملك
557,وكانت,لابنتي,الناحيه,هذه,وهبت,اني,له
557,جددا,ثيابا,والبس,السجن,ثياب,عنك,الق
558,وساله,استنطقه,فلما,قال,تخف,لا,له
558,اني,غير,مصر,علي,سلطنتك,قد,ليوسف
558,الملك,ودخل,السرير,علي,واجلسه,نعم,يوسف
558,علي,الجوع,اشتد,قالوا,لنا,مشيخه,حدثني
558,ولا,لريبه,اعزلك,لم,فقال,عزلتني,لم
558,حتي,لك,نصحي,علمت,قد,يوسف,له
558,يوسف,فمشي,شت,حيث,اختر,فرعون,له
568,طواحين,تدار,وبه,كثيره,ضياع,شرب,ومنه
570,امرا,علي,الدلال,كتاب,في,زولاق,ابن
570,ومن,الحوادث,متجددات,كتاب,في,الفاضل,القاضي
570,الخطبه,فيه,تقام,جامعا,اجعله,ان,اريد
573,غريبا,قولا,ذلك,في,الهند,من,البراهمه
577,ان,الداهر,الدهر,ومعناه,هند,السند,اصحاب
578,كل,ان,الهند,قدما,من,الهازروان,اصحاب
578,فيها,تجتمع,التي,العالم,مده,الازجهير,اصحاب
578,بعض,ان,بخت,بو,وابن,معشر,ابو
581,ان,الفرس,من,قوم,وزعم,معشر,ابو
581,لكل,سنه,الاف,تسعه,الدنيا,عمر,قوم
581,سنه,الف,عشر,تسعه,الدنيا,عمر,قوم
581,سنه,الف,وعشرون,احد,الدنيا,عمر,قوم
581,سنه,الف,وسبعون,ثمانيه,الدنيا,عمر,قوم
586,بن,الله,عبد,وروي,سنه,الاف,سته
586,يعقوب,بن,احمد,بن,الحسن,محمد,ابو
586,الصواب,الطبري,جرير,بن,محمد,جعفر,ابو
586,من,اجل,في,اجلكم,السلام,عليه,قوله
586,الشمس,طلوع,اوله,اليوم,كان,ان,فمعلوم
590,راي,انه,القرشي,معاويه,بن,محمد,حدثني
590,اولا,ذلك,لكل,ان,الا,محمد,ابو
590,القبط,تاريخ,قبل,للامم,كانت,التي,التواريخ
590,يوسف,بن,محمد,بن,احمد,بن,محمد
591,الف,عشر,اثنا,العالم,عمر,والفرس,المجوس
591,ظهوره,وقت,الي,الدنيا,من,الماضي,ان
591,من,هي,انما,الماضيه,الالاف,الثلاثه,قوم
591,ثلاثه,الاسكندريه,الي,ادم,من,الماضي,اليهود
591,وثمانون,وماه,الاف,خمسه,بينهما,المده,النصاري
595,اغشطش,تاريخ,واما,الكتاب,هذا,من,الاسكندريه
595,عباره,الشمسيه,السنه,ان,اعلم,القبط,تاريخ
598,بان,وعورض,النهار,طرفا,هما,الحدان,هذان
598,اعلم,به,القبط,تاريخ,يعرف,الذي,دقلطيانوس
601,دثرت,بل,الناس,بين,العالم,في,يعرف
611,هذا,برجلك,اركض,له,وتعالي,سبحانه,الله
611,ماتوا,وقد,بهم,احارب,كيف,رب,يا
611,خرجوا,الذين,الي,تر,الم,فيهم,الله
611,فرفع,البقره,احياهم,ثم,موتوا,الله,لهم
611,بعض,علي,بعضكم,وليصب,اليوم,بهذا,تبركوا
611,الذين,الي,تر,الم,تعالي,الله,قول
611,هلا,البقره,احياهم,ثم,موتوا,الله,لهم
612,اعياد,كتاب,في,الاصفهاني,حمزه,بن,علي
612,السبب,هو,النيل,كان,ولما,رضوان,ابن
612,سنه,يعني,السنه,هذه,وفي,زولاق,ابن
612,النوروز,يوم,وفي,وستين,اربع,سنه,في
