ms,word_5,word_4,word_3,word_2,word_1
163,الكتاب,هذا,من,موضعه,في
163,مصر,ارض,عليه,كانت,ما
163,مصر,ارض,كانت,وقد,المسعودي
163,العلويه,الاثار,كتاب,في,ارسطاطاليس
166,قري,تصير,تاريخه,في,المسبحي
166,محمد,الله,عبد,ابو,القاضي
166,وامر,بالخراج,معرفه,له,من
166,سنه,الي,وقراها,مصر,كور
167,الليث,عن,الحكم,عبد,ابن
167,اراضي,في,يعمل,كان,ما
167,يزيد,عن,الحكم,عبد,ابن
170,الزمن,في,مصر,خراج,مقدار
170,منقاوس,وكان,شاه,وصيف,ابن
170,في,مصر,وجبيت,دحيه,ابن
170,في,وجد,انه,الجواني,الشريف
171,خبر,في,كما,فيه,ما
171,اخبرني,الاسدي,علي,بن,الحسن
171,باللغه,قبطي,كتاب,في,وجدت
172,فرعون,ارسل,الذي,الوقت,في
172,فتح,عند,المسلمون,عمله,ما
172,سهيل,حدثنا,معاويه,بن,زهير
172,الله,صلي,الله,رسول,قال
172,صلي,اخبر,قد,عبيد,ابو
172,عبيد,عن,الحكم,عبد,ابن
181,واتخاذهم,مصر,بريف,العرب,نزول
187,اخبار,كتاب,في,ذولاق,ابن
187,امر,الساعه,بكر,ابو,له
187,ابي,علي,اعقدوها,بكر,ابو
187,يعني,الشيخ,رايت,يعقوب,ابو
187,نحو,عندي,الحسن,ابو,له
187,وجاه,اليه,فانفذها,بها,جني
187,غلقت,قد,الصفقه,تلك,له
187,انما,العجز,هذا,ما,المارداني
188,خطه,عليه,رد,الحسن,لابي
188,لدين,المعز,سيره,كتاب,في
188,للدين,الناصر,الوزير,سيره,جامع
188,الي,السفلي,الارض,ارتفاع,وانتهي
192,اوفوا,امنوا,الذين,ايها,يا
192,والمشارف,الوالي,من,المكاتبه,ووصلته
198,وثمانين,خمس,سنه,متجددات,في
199,وثمانين,ثمان,سنه,متجددات,في
199,الجندي,وكان,الناصري,الاخير,الروك
200,سنه,وفي,الناصريه,السيره,جامع
204,الجراريف,ومتوفر,معين,مقرر,وانثي
207,الناصري,الروك,اجناد,بعض,وجدت
207,ان,مصر,اقليم,خراب,اسباب
208,ابو,القضاه,اقضي,قال,الديوان
208,موضعهم,فسمي,مجانين,اي,ديوانه
208,حدثني,قال,الوراق,النمر,ابو
208,بن,الحسن,ابو,لي,قال
208,للزراعه,مساحتها,مصر,ارض,ان
208,انه,المدبر,ابن,لي,وقال
208,من,ليله,قط,ابت,ولم
211,رضي,عباس,ابن,عن,الضحاك
211,للناس,عنه,الله,رضي,عمر
211,اني,عنه,الله,رضي,عمر
211,وعثمان,عوف,بن,الرحمن,عبد
211,رسول,بعم,الا,ابدا,لا
218,حديث,في,الساب,بن,عطا
218,انه,هلال,بن,حميد,عن
218,ان,تاريخه,في,الاثير,ابن
218,عنه,الله,رضي,علي,له
218,علي,قال,ما,القول,القوم
218,طافه,اقتطع,يقال,والاقطاعات,القطاع
221,جابر,عن,سفيان,عن,وكيع
221,يبلغنا,ولم,سعد,بن,الليث
221,المهاجر,بن,ابراهيم,عن,الاعمش
221,عنه,الله,رضي,عثمان,اقطع
221,عمرو,عن,عمر,بن,سيف
221,الله,وعبد,وخباب,الزبير,اقطع
227,مصر,خراج,ان,خرداذبه,ابن
227,عيسي,بن,موسي,منها,وحمل
227,بلغ,اذا,مصر,خراج,وكان
227,قال,نعمل,كيف,الاخشيد,له
227,فلما,هذا,وتدبر,تجيني,غدا
227,فيما,فكرت,قد,الاخشيد,له
227,فقال,الله,سبحان,كلا,ابن
227,كان,ايش,اسمعوا,قوم,يا
227,السلطان,وبين,بيني,ما,له
227,مطالبه,المارداني,ابن,قبل,لك
227,جاتك,قد,دينار,الف,هذه
229,بن,الافضل,ان,ميسر,ابن
229,انه,مياوماته,في,الفاضل,القاضي
230,زراعتها,واقسام,مصر,اراضي,اصناف
231,البلديه,الجسور,واما,الخراب,اسباب
232,في,وحشيه,بن,بكر,ابو
232,زرعوا,اذا,مصر,في,ان
236,كتاب,في,الحسن,ابو,القاضي
236,ان,اعلم,مصر,مال,اقسام
238,هذا,من,الطولوني,الجامع,اخبار
240,الذي,ان,طي,ابي,ابن
240,سنه,متجددات,في,الفاضل,القاضي
240,وتسعين,اثنتين,سنه,متجددات,في
242,تعالي,الله,جعله,الذي,القمح
242,غير,ارب,عندنا,لابليس,ليس
242,الجزار,الحسين,ابو,الفاضل,الاديب
248,سنه,متجددات,في,الفاضل,القاضي
248,الجوالي,ارتفاع,عليه,انعقد,والذي
248,واستخدم,وثمانين,ثمان,سنه,في
248,بالعزيز,يتسمي,من,كان,ما
249,خمس,من,والحاصل,الفاضل,القاضي
254,البراطيل,واما,الخراب,اسباب,في
260,لهم,فقيل,موته,قبل,صاحبهم
260,فكرت,الطبيب,رضوان,بن,علي
262,كذلك,وليس,قبران,انهما,قوم
262,اسحاق,بن,محمد,يعقوب,ابو
262,في,اختلف,قد,البابلي,هرمس
265,وجد,انه,البلخي,زيد,ابو
265,لم,الاكليل,كتاب,في,الهمداني
265,بن,الله,عبد,محمد,ابو
265,فرايت,داخله,في,دخلت,وقد
274,الذهب,خراج,من,خير,هذا
274,هذا,ان,مصر,مرخي,بعض
274,البنيان,عجيب,من,خرداذبه,ابن
274,عن,البنيان,عجاب,كتاب,في
278,بن,حسن,بن,الوهاب,عبد
278,لله,جباره,بن,الدين,سيف
278,واسمع,الهرمين,الي,انظر,اخر
278,بن,احمد,العباس,ابو,الامام
278,سكان,من,للماضين,كان,قد
278,الحدثان,علي,باق,لا,خليلي
281,لقبره,يسجدون,وصاروا,ظلما,قتل
281,مصر,ارض,ان,اعلم,الجبال
281,الجبل,ان,اعلم,المقطم,الجبل
287,ما,ويستدعي,بذلك,يهتم,مروه
287,جسيم,وخطرها,عظيمه,الالات,هذه
287,ذلك,يتولي,الذي,ان,يحتاج
287,نفسه,مدح,في,اكثر,لقد
287,باسهل,الغرض,يبلغ,من,هنا
287,رصد,ومن,العلم,في,القدما
287,ما,فقال,تحتاج,ش,اي
287,فقال,لنفسه,جار,له,يطلق
287,فقال,اليه,يحتاج,تقول,كم
287,المملوك,فيها,فكتب,ورقه,هاتوا
288,اذا,بعد,فيما,هذا,القاد
288,التي,العظيمه,الاله,هذه,مثل
289,اعادتها,في,اهتم,الافضل,له
290,منها,اختصرت,لو,الافضل,له
290,ان,امكنني,لو,نعمتك,وحق
290,كل,اليهم,اطلع,المامون,له
291,للسحر,هذا,عمل,منهم,اخرون
308,بن,محمد,الله,عبد,ابو
308,عبد,بن,اميه,الصلت,ابو
311,مصر,بعد,الحكيم,عبد,ابن
329,من,المدينه,هذه,الاسكندريه,مدينه
330,كتاب,في,المسعودي,الحسن,ابو
330,ووصف,الاقاليم,كتاب,في,بطليموس
330,ذكر,في,شاه,وصيف,ابن
331,وعجابها,مصر,كنوز,كثره,له
331,طوطيس,ابنه,جورياق,جلست,ولما
347,الريحان,ابو,قال,الاسكندر,تاريخ
348,علي,بن,احمد,بكر,ابو
348,في,وجدت,ما,بحسب,القبط
353,وقيل,سنه,اربعين,ولي,غيره
353,حكيما,هذا,بطليموس,وكان,غيره
360,سنه,رمضان,شهر,في,وتهدم
360,ماتي,فكان,قاسه,انه,بعضهم
362,كانت,المناره,ان,العلم,اهل
362,وعجاب,عمر,بن,الله,عبد
362,كان,الذي,الملعب,ذكر,الثلاثه
362,الاسكندريه,مصر,عجاب,ومن,القضاعي
362,كانت,فلما,الحكم,عبد,ابن
368,لطول,العماد,ذات,سموا,بعضهم
368,مثل,طولهم,يعني,عباس,ابن
368,اثني,احدهم,طول,كان,مقاتل
368,في,وجد,انه,واحد,غير
368,ستون,طوله,ادم,الله,حلق
368,بن,الرحيم,عبد,بن,محمد
368,سير,كتاب,في,الشعبي,نقل
368,في,صورهم,رايت,وقد,الاقليشي
372,بن,مكرم,بن,الدين,جلال
372,مراكب,ووصف,فيه,والامواج,البحر
372,الفسطاط,من,جرداديه,بن,احمد
372,نضب,اذا,الاسكندريه,وطريق,اخر
373,عمرو,ابو,قال,الاسكندريه,فتح
373,جمادي,في,سار,بل,غيره
373,عمرو,ان,عمر,بن,سيف
373,ان,ويقال,الحكم,عبد,ابن
373,هن,ما,قال,ثلاثا,اسالك
373,بذلت,ما,للروم,تبذل,لا
373,قال,علينا,اهونهن,هذه,عمرو
387,وانما,فركبوا,اركبوا,الله,عبد
387,اقتتلوا,قد,قالوا,فعلوا,ما
387,فقال,اتوه,ثم,الروم,غلبت
387,فقال,اتوه,ثم,الروم,غلبت
387,اذ,السفن,وكانت,الروم,غلبت
387,يومذ,الله,عبد,مركب,فقرن
387,خطبها,قد,علقمه,ان,له
387,تقدرون,ما,بكم,اصنع,ما
387,فصنعوا,هذا,فاصابنا,مقتدرين,خرجنا
391,حدثه,عمن,الطرطوسي,بكر,ابو
391,الخليج,في,والصيد,الاسكندريه,شاهدت
391,كتاب,في,الكندي,عمرو,ابو
391,الاسكندريه,خليج,وحفر,وقال,سيرته
391,ربيع,وفي,الطولونيه,السيره,جامع
391,انقطع,النيل,كان,وقد,المسعودي
392,الله,بامر,الحاكم,ان,المسبحي
392,من,ذلك,في,ما,له
395,اقتتل,فلما,المعافري,جناده,بن
399,وفي,القصر,خزان,ذكر,عند
400,يا,اعذرنا,عوف,ابن,له
400,الفرنجي,فاخذ,يحل,ما,هذا
403,بمصر,كور,اربع,الكندي,ابن
403,التا,بكسر,تنيس,تنيس,مدينه
403,بعد,وملكت,شاه,وصيف,ابن
407,تدعو,لا,لم,قومه,له
412,خمسه,منذ,بها,تزوجت,الرجل
412,ابو,حدثني,الكندي,عمرو,ابو
412,الاحد,عبد,بن,يس,حدثني
412,دخل,لما,يقول,ابي,سمعت
412,لهيعه,بن,الله,عبد,حدثنا
412,بكم,كيف,مصر,اهل,يا
415,اربع,سنه,حوادث,في,المسبحي
415,السلطان,بخزانه,هذا,يفعل,كيف
418,فيه,خبر,كونه,سبب,في
421,جمله,من,الوراده,الوراده,بلد
421,الله,عبد,بن,الله,عبيد
421,بالميدا,كان,لليلك,المامون,الخليفه
426,سار,السلام,عليه,موسي,ان
427,وهو,الكتاب,هذا,من,الاديار
427,مدين,ان,اعلم,مدين,مدينه
427,وقطر,بلد,اسم,مدين,الفرا
429,الا,المديني,المنذر,بن,المتنصر
429,عجيبه,اخبار,الملوك,ولهلا,المسعودي
429,المذكوره,الايكه,البكري,عبيد,ابو
429,اسم,وليكه,الغيضه,الايكه,قوم
429,يعلم,ولا,النحاس,جعفر,ابو
429,يزعم,بعضهم,وكان,قتيبه,ابن
429,معلوم,بالشام,بلد,مدين,البكري
429,السواحل,هي,وميتا,اسحاق,ابن
432,الجفار,ان,اعلم,الجفار,ارض
432,من,المرتفع,الصعيد,مصر,صعيد
439,صاحب,سيمون,وحدثني,النوبه,مرخ
439,بلاد,طرق,من,سالت,وقد
439,الرمل,جبال,من,يخرج,انه
441,الزنج,بلاد,طرق,من,واما
441,من,ياتي,الاربعه,الانهار,وبعض
443,الملك,ورب,الله,وربك,ربي
443,في,قال,يكون,فاين,له
443,المطر,عنهم,ابطا,اذا,انه
443,موسي,بعثه,له,فذكر,لا
443,فقد,هذا,فعلوا,كانوا,اذا
443,فعلوا,كانوا,ان,صدقتهم,قد
443,غلب,وقد,الله,رحمه,ملفه
445,ابا,يعني,فلان,عرش,هذا
448,الله,صلي,الله,رسول,محمدا
453,قولهم,من,اسوان,اسوان,مدينه
453,خلق,يسكنها,اسوان,ومدينه,المسعودي
454,فرقه,فرقتين,فافترقت,النوبه,واما
454,صعيد,من,الشرقي,الجانب,وفي
454,ثغر,متحصل,ان,الفاضل,القاضي
454,باسوان,وكان,الادفوي,جعفر,الكمال
455,فيه,مكتوب,علي,انا,ووقفت
455,مدحهم,من,واسما,مناقبهم,فيها
455,الدهر,خانه,ان,وينجده,فيها
460,كتاب,في,ليس,خليفه,ابو
460,عمرو,والدي,سمعت,زكريا,ابو
460,الله,عبد,الامير,مجلس,حضرت
460,الذي,صالح,بن,عثمان,انت
460,البلده,هذه,امر,اعجب,ما
460,الامير,فوجه,صالح,بن,عثمان
460,اعرف,نحن,سعد,بن,الليث
461,قال,تشا,فما,ابوه,له
461,السلف,راه,ش,هذا,ابوه
461,فساله,شت,ما,تمن,له
464,حجاج,ان,اعلم,عيذاب,صحرا
466,من,المدينه,هذه,الاقصر,مدينه
466,الادفوي,الكمال,وذكر,هذه,البلينا
466,هذا,مثل,بلادكم,في,للخطيب
466,الي,وصل,فلما,وحلوي,الخطيب
466,عيد,في,بها,الحكام,وبعض
466,ويوصف,للسكر,مسابك,عده,وكان
466,الغربي,بالجانب,المدينه,هذه,سمهود
466,عشر,سبعه,بسمهود,كان,الادفوي
466,جمله,من,المدينه,هذه,ارجنوس
466,من,ايضا,المدينه,هذه,ابويط
466,الغربي,بالجانب,المدينه,هذه,ملوي
469,دروط,ان,اعلم,بلهاسه,دروط
469,حلفه,الجود,حلف,الشاعر,فيه
469,ابراهيم,المغيره,ابن,فيه,الشاعر
469,ماجدا,مات,احمد,فيه,الشاعر
469,تجاهها,الاطفيحيه,من,هي,سكر
475,وذكر,القضاعي,قال,ترسا,قريه
475,قري,احدي,هي,اندونه,منيه
475,الحكم,عبد,ابن,قال,وسيم
482,لان,بذلك,سميت,انما,اخر
482,بن,مصر,ابنه,وقدم,وانثي
482,كان,البيهقي,عن,سعيد,ابن
482,الج,للعرش,ويقال,موضعه,في
483,الاخره,جمادي,وفي,الفاضل,القاضي
483,الفرما,البكري,قال,الفرما,مدينه
483,ليس,كتاب,في,خالويه,ابن
486,البحرين,مجمع,وبها,الكندي,ابن
486,برزخ,بينهما,يلتقيان,البحرين,مرج
486,وهما,حاجزا,البحرين,بين,وجعل
486,القاف,بضم,القلزم,القلزم,مدينه
486,بالقلزم,المعروف,والبلد,الطوير,ابن
495,فضمن,فيه,هو,ما,له
498,الكرك,مدينه,خلا,البلاد,من
503,ان,والعساكر,انت,قدرت,اما
514,فتزوج,السنه,من,النكاح,له
514,فقير,انا,ولا,شيخ,انا
514,لما,تفطن,انا,كلامه,في
514,يا,خواصه,من,شخص,له
516,من,كسوه,فيها,ورايت,الفاكهي
517,مصر,مدينه,بين,فيما,الطريق
517,عبد,بن,الله,عبيد,ابو
520,من,المدينه,هذه,الرقه,مدينه
520,لخم,من,القوم,اولك,قتاده
520,لها,يقال,وكان,شمس,عين
525,الا,قط,وال,راه,ما
525,من,ندوسه,يا,خازنه,لندوسه
525,بعدها,وعاش,الامير,ايها,انت
525,شمس,عين,البكري,عبيد,ابو
525,شمس,عين,حبيب,بن,محمد
525,تسموا,الذي,شمسا,ان,الكلبي
525,شمس,بعين,واسطوانتين,خرداذبه,ابن
525,في,الرحيم,عبد,بن,محمد
526,ولدها,ومعها,اتت,امراه,ان
527,هذا,كتابنا,من,دمياط,مدينه
527,ذلك,فشق,كرري,بالله,لها
527,العود,فاخذت,انت,غني,لجاريته
532,مدن,احدي,هي,دندره,مدينه
532,العباس,شجره,يا,عندها,الانسان
532,ورا,منقطعه,الواحات,الداخله,الواحات
533,ان,ويقال,شاه,وصيف,ابن
537,ملوك,احد,بناها,الخارجه,الواحات
537,البودسير,واراد,شاه,وصيف,ابن
537,فهي,الواحات,بلاد,واما,المسعودي
540,ابو,العدل,الخطيب,اخبرني,الادفوي
540,في,المدينه,هذه,البهنسا,مدينه
540,تعالي,قوله,في,المفسرين,بعض
540,مناوش,واستخلف,شاه,وصيف,ابن
543,لي,رفيق,ورجل,انا,خرجت
543,نحوا,بالوادي,اقاما,انهما,فاخبرني
543,اعظم,من,كانت,الاشمونين,مدينه
545,جلدا,كان,شاه,وصيف,ابن
545,رجلا,ان,اخميم,اهل,وذكر
545,ما,فتحرق,نار,تكون,بعضهم
545,فعملوا,ما,يكون,بل,اخرون
552,المغرور,ايها,تريد,اين,للملك
552,احد,اليه,يصل,لا,موضع
552,اصول,من,قال,عيشك,ما
552,من,قال,تشربون,اين,فمن
552,زهاده,قال,منا,هربتم,فلم
552,الشمس,حميت,اذا,بكم,فكيف
552,هذا,تحت,غيران,الي,ناوي
552,اخلفه,مال,في,لكم,فهل
552,الترف,اهل,المال,يريد,انما
552,اصحابه,من,بنفر,فانطلق,فارنيه
555,فلما,حاجه,بذلك,لي,ما
555,الي,احب,السجن,رب,يوسف
555,قد,وفلانا,فلانا,ان,له
555,ما,يوسف,فقال,به,جيوني
557,كتبنا,في,نجد,انا,الكاهن
557,ايامنا,في,يكون,هذا,الملك
557,كثيره,مده,الي,ولا,لا
557,كما,الامر,كان,ان,الملك
557,الناحيه,هذه,وهبت,اني,له
557,الريان,فملكهم,الحكم,عبد,ابن
557,عنهما,الله,رضي,عباس,ابن
557,والبس,السجن,ثياب,عنك,الق
558,فلما,قال,تخف,لا,له
558,مصر,علي,سلطنتك,قد,ليوسف
558,السرير,علي,واجلسه,نعم,يوسف
558,اشتد,قالوا,لنا,مشيخه,حدثني
558,اعزلك,لم,فقال,عزلتني,لم
558,نصحي,علمت,قد,يوسف,له
558,شت,حيث,اختر,فرعون,له
568,وبه,كثيره,ضياع,شرب,ومنه
570,الدلال,كتاب,في,زولاق,ابن
570,متجددات,كتاب,في,الفاضل,القاضي
570,يغل,هنالك,معروف,والفيوم,البكري
570,تقام,جامعا,اجعله,ان,اريد
573,ذلك,في,الهند,من,البراهمه
577,الدهر,ومعناه,هند,السند,اصحاب
578,الهند,قدما,من,الهازروان,اصحاب
578,التي,العالم,مده,الازجهير,اصحاب
578,بخت,بو,وابن,معشر,ابو
581,من,قوم,وزعم,معشر,ابو
581,الاف,تسعه,الدنيا,عمر,قوم
581,عشر,تسعه,الدنيا,عمر,قوم
581,وعشرون,احد,الدنيا,عمر,قوم
581,وسبعون,ثمانيه,الدنيا,عمر,قوم
586,عبد,وروي,سنه,الاف,سته
586,الله,صلي,الله,رسول,سمعت
586,احمد,بن,الحسن,محمد,ابو
586,جرير,بن,محمد,جعفر,ابو
586,في,اجلكم,السلام,عليه,قوله
586,اوله,اليوم,كان,ان,فمعلوم
590,القرشي,معاويه,بن,محمد,حدثني
590,لكل,ان,الا,محمد,ابو
590,قبل,للامم,كانت,التي,التواريخ
590,محمد,بن,احمد,بن,محمد
590,كتاب,في,جعفر,بن,قدامه
591,اثنا,العالم,عمر,والفرس,المجوس
591,الي,الدنيا,من,الماضي,ان
591,انما,الماضيه,الالاف,الثلاثه,قوم
591,الي,ادم,من,الماضي,اليهود
591,الاف,خمسه,بينهما,المده,النصاري
595,واما,الكتاب,هذا,من,الاسكندريه
595,السنه,ان,اعلم,القبط,تاريخ
598,النهار,طرفا,هما,الحدان,هذان
598,القبط,تاريخ,يعرف,الذي,دقلطيانوس
601,الناس,بين,العالم,في,يعرف
611,اركض,له,وتعالي,سبحانه,الله
611,بهم,احارب,كيف,رب,يا
611,الي,تر,الم,فيهم,الله
611,احياهم,ثم,موتوا,الله,لهم
611,بعضكم,وليصب,اليوم,بهذا,تبركوا
611,تر,الم,تعالي,الله,قول
611,احياهم,ثم,موتوا,الله,لهم
612,في,الاصفهاني,حمزه,بن,علي
612,ذكر,في,شاه,وصيف,ابن
612,النيل,كان,ولما,رضوان,ابن
612,السنه,هذه,وفي,زولاق,ابن
612,وفي,وستين,اربع,سنه,في
612,وحل,تاريخه,في,المامون,ابن
614,بالجلود,والتصافع,بالما,التراش,من
614,ولكن,ونورزت,الناس,نوروز,اخر
614,يا,النوروز,اتي,ولما,اخر
614,القبطيه,الشهور,ايام,يوافق,ما
628,الحسن,بن,علي,الحسن,ابو
628,اذ,وماتين,واربعين,احدي,سنه
629,فلما,وماتين,وسبعين,ست,سنه
629,في,ولبثوا,الكهف,سوره,في
629,سببه,له,وشرح,النقل,هذا
630,كان,وقد,الحسن,ابو,القاضي
630,المحسن,بن,هلال,الحسين,ابو
630,محمد,ابو,الوزير,اراد,لما
630,هشام,ابي,بن,الفرج,لابي
631,الكتاب,نسخ,اغفلت,لماذا,له
631,ما,الفرج,ابا,يا,له
631,اذكر,وانا,الحسن,ابو,القاضي
641,الي,واربعماه,وتسعين,تسع,سنه
641,سنه,متجددات,في,الفاضل,القاضي
641,الكتاب,ونسخه,الحسين,ابو,القاضي
650,احتاج,لما,ثم,وخلفاها,القاهره
650,الفسطاط,الجوهري,قال,مصر,فسطاط
650,اعلم,مصر,مدينه,فسطاط,ومنه
651,الفسطاط,موضع,عليه,كان,ما
652,موجود,المقياس,وعمود,المتوج,ابن
652,ذكر,عند,الكتاب,هذا,في
653,الشمع,بقصر,يعرف,الذي,الحصن
653,اسمه,بناه,الذي,ان,الواقدي
654,والشام,مصر,وصارت,سعيد,ابن
654,طخشاشت,بناه,الذي,ان,غيره
654,الليث,عن,الحكم,عبد,ابن
654,بن,نصر,الاسود,ابو,وكان
654,بقصر,المعروف,الحصن,ذكر,القضاعي
654,اليون,باب,البكري,عبيد,ابو
654,للتعريف,فيه,واللام,الالف,وليست
654,ارضنا,تهامي,وحلوا,صخر,ابو
655,اسم,بالبا,البون,باب,الحازمي
655,بابليون,هشام,بن,الملك,عبد
655,الفسطاط,ظاهر,في,القضاعي,القاضي
655,صريح,تري,كما,فهذا,الملف
655,المعرب,كتاب,في,سعيد,ابن
679,قد,قوما,رايت,ما,تالله
679,وعد,جا,فاذا,تعالي,الله
679,مزاحم,بن,والضحاك,ومجاهد,قتاده
679,الازد,من,عامتهم,وكان,جميعا
679,وكان,خديج,بن,معاويه,لهم
682,علي,الفسطاط,مدينه,وكانت,العسكر
682,فتحت,حين,من,الفسطاط,امرا
682,العاص,بن,عمرو,وغيره,الكندي
686,من,جنودا,لله,ان,عمرو
686,غيرك,اردت,ما,والله,اما
686,خارجه,اراد,الله,ولكن,عمرو
687,فابي,فيه,بما,ياخذه,من
687,اثنين,بين,اجمع,ما,والله
687,ثم,فيه,بما,ناخذه,نحن
687,كنتم,قد,مصر,اهل,يا
687,بيده,دراكم,ابيتم,فان,فعل
693,لا,فانك,عنا,اخرج,له
696,بالعسكر,كنا,يومذ,من,الناس
698,الخطط,هذه,ذكر,وعند,القطاع
698,قناطر,خط,ذكر,وعند,القطاع
698,امرا,من,العسكر,نزل,من
703,فعلي,ش,له,ضاع,من
703,يخاف,ولا,يخافني,رجل,هو
707,علي,رايت,ما,عفير,ابن
719,لهمه,هذه,ان,المدبر,ابن
719,الرساله,بلغته,لما,المدبر,ابن
723,قراطغان,ابن,ابراهيم,مره,له
723,مد,من,كل,هذا,يا
723,التعفف,من,اغنيا,الجاهل,يحسبهم
727,السباق,لحلبه,الخيل,فيها,تنتج
729,بن,احمد,بناه,المنظر,القضاعي
729,ببغداد,الجمعه,ذهبت,وقد,كاتبه
729,علي,النكاح,المعتضد,وعقد,القضاعي
729,بيني,بقي,هل,خمارويه,له
729,فقال,حسابك,انظر,فقال,لا
729,فيه,طومار,ربع,فاخرج,احضروه
729,الف,اربعماه,هي,فاذا,النفقه
729,فنظرت,المادراني,علي,بن,محمد
729,الخبر,هذا,ذكرت,وانما,القضاعي
730,وهو,الجهاز,من,بقي,كسر
730,في,اليوم,يعرف,ولا,كاتبه
732,علي,اعدوا,اذ,دري,لله
733,وقال,المعتمد,من,نيل,ما
735,وابنه,والموفق,المعتمد,ان,فيه
742,الميدان,الي,وانظر,وقفه,قف
742,لذي,الهوا,قبه,في,ان
742,به,معتبرا,الميدان,علي,مررت
743,ضاحيا,بالامس,الميدان,علي,مررت
