parent_cl,par_begin,par_len,level_1,per_of_par,level_2,per_of_l1,level_3,per_of_l2,ms,parent_cl_book,level_1_book,level_2_book,level_3_book
25769881112,747,810,25769881116,33.09,0,0,0,0,31,['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
25770008635,1,1600,25769881113,43.25,0,0,0,0,32,No Data,['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
25770008635,1,1600,299679,56.38,0,0,0,0,32,No Data,['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
274878263070,1,1373,274878263071,61.47,240518224666,53.44,0,0,34,['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.KhabarCanBashar'],['0733Nuwayri.NihayatArab'],No Cluster
274878263070,1,1373,274878263073,29.64,0,0.0,0,0,34,['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
120259123033,1,1516,25769858608,9.5,0,0.0,0,0,35,['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
120259123033,1,1516,25769858606,43.6,120259123038,40.09,0,0,35,['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster
120259123033,1,1516,120259123035,33.05,0,0.0,0,0,35,['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
223338343318,1,1294,223338343319,54.56,223338343322,26.06,0,0,36,['0930IbnIyas.NuzhatUmam'],['0449AbuCalaMacarri.RisalatSahilWaShajih'],['0845Maqrizi.KhabarCanBashar'],No Cluster
223338343318,1,1294,20186,39.18,0,0.0,0,0,36,['0930IbnIyas.NuzhatUmam'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster
85899699989,233,1120,85899699991,51.79,0,0,0,0,37,['0874IbnTaghribirdi.NujumZahira'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
85899699989,233,1120,77309677582,73.75,0,0,0,0,37,['0874IbnTaghribirdi.NujumZahira'],['0600PseudoMascudi.AkhbarZaman'],No Cluster,No Cluster
85899699989,233,1120,17179964390,44.73,0,0,0,0,37,['0874IbnTaghribirdi.NujumZahira'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster,No Cluster
60129560221,1,864,60129560224,48.73,0,0.0,0,0,38,['0930IbnIyas.NuzhatUmam'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster,No Cluster
60129560220,397,1162,60129560222,66.7,60129560225,47.23,0,0,38,['0733Nuwayri.NihayatArab'],['0874IbnTaghribirdi.NujumZahira'],['0733Nuwayri.NihayatArab'],No Cluster
60129560220,397,1162,60129560223,52.67,8590305022,55.07,0,0,38,['0733Nuwayri.NihayatArab'],['0600PseudoMascudi.AkhbarZaman'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster
60129694567,1,1155,249108130697,50.74,8590305022,45.9,0,0,39,['0487AbuCubaydBakri.MasalikWaMamalik'],['0596IbnWasifShah.MukhtasarCajaibDunya'],['0596IbnWasifShah.MukhtasarCajaibDunya'],No Cluster
60129694567,1,1155,188978841910,36.19,0,0.0,0,0,39,['0487AbuCubaydBakri.MasalikWaMamalik'],['0487AbuCubaydBakri.MasalikWaMamalik'],No Cluster,No Cluster
94489518293,1,1019,206158440413,53.09,0,0,0,0,40,['0213IbnHisham.Tijan'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster
94489518293,1,1019,34359794968,26.4,0,0,0,0,40,['0213IbnHisham.Tijan'],['0213IbnHisham.Tijan'],No Cluster,No Cluster
25770070912,317,686,369367272970,30.61,0,0,0,0,41,['0257IbnCabdHakam.FutuhMisr'],['0930IbnIyas.NuzhatUmam'],No Cluster,No Cluster
180388689138,344,1113,171798828498,70.35,0,0,0,0,41,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
180388689138,344,1113,60129694570,17.79,0,0,0,0,41,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
249108185537,12,751,128849134767,17.84,0,0,0,0,42,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
103079456381,520,863,42949985958,68.37,0,0.0,0,0,45,['0449AbuCalaMacarri.RisalatSahilWaShajih'],['0400IbnTahirMaqdisi.BadWaTarikh'],No Cluster,No Cluster
103079456381,520,863,34359962426,48.78,146029155489,41.33,0,0,45,['0449AbuCalaMacarri.RisalatSahilWaShajih'],['0255Jahiz.Hayawan'],['0255Jahiz.Hayawan'],No Cluster
111669485871,1068,436,111669485870,37.84,0,0,0,0,46,['0460ShaykhTusi.Tibyan'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
34359946848,1356,197,111669485872,100.0,0,0,0,0,46,['0429AbuMansurThacalibi.Jawahir'],['0873AbuZaydThacalibi.JawahirHisan'],No Cluster,No Cluster
154619037552,1,471,249108465302,59.24,0,0,0,0,47,['0541IbnCatiyyaAndalusi.MuharrarWajiz'],['0671AbuCabdAllahQurtubi.JamicLiAhkamQuran'],No Cluster,No Cluster
154619037552,1,471,249108465304,38.64,0,0,0,0,47,['0541IbnCatiyyaAndalusi.MuharrarWajiz'],['0671AbuCabdAllahQurtubi.JamicLiAhkamQuran'],No Cluster,No Cluster
154619045596,1114,323,137439122536,69.35,0,0,0,0,47,No Data,['0280HudHawwari.Tafsir'],No Cluster,No Cluster
25770055075,41,1475,77309476243,19.12,0,0,0,0,48,['0257IbnCabdHakam.FutuhMisr'],['0347IbnYunusSadafi.Tarikh'],No Cluster,No Cluster
25770055075,41,1475,77309476242,25.97,0,0,0,0,48,['0257IbnCabdHakam.FutuhMisr'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
25770055075,41,1475,25770055079,13.63,0,0,0,0,48,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
146028934582,1,1460,146028934581,13.01,0,0.0,0,0.0,49,['0930IbnIyas.NuzhatUmam'],['0748Dhahabi.SiyarAclamNubala'],No Cluster,No Cluster
146028934582,1,1460,146028934579,76.71,146028934583,85.18,42949905245,37.11,49,['0930IbnIyas.NuzhatUmam'],['0874IbnTaghribirdi.NujumZahira'],['0733Nuwayri.NihayatArab'],['0347IbnYunusSadafi.Tarikh']
240518416636,1,912,240518274945,18.09,0,0,0,0,50,['0733Nuwayri.NihayatArab'],['0911Suyuti.HusnMuhadara'],No Cluster,No Cluster
8590322943,197,694,8590087203,98.7,0,0,0,0,51,"['0676Nawawi.MinhajFiSharhMuslim', '0676Nawawi.RiyadSalihin']",['0213IbnHisham.SiraNabawiyya'],No Cluster,No Cluster
266288289786,1,1173,111669270948,46.72,25769958730,39.23,0,0,52,['0911Suyuti.HusnMuhadara'],['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster
266288289786,1,1173,240518242481,13.38,0,0.0,0,0,52,['0911Suyuti.HusnMuhadara'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
240518242475,549,1023,8590178739,14.08,0,0.0,0,0,52,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
40436,1,949,8590178739,25.71,0,0.0,0,0,53,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
40436,1,949,40437,65.02,40441,42.46,0,0,53,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster
40436,1,949,40439,59.33,0,0.0,0,0,53,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
128849384133,1,1168,197568871493,22.43,0,0,0,0,55,['0930IbnIyas.NuzhatUmam'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
128849384133,1,1168,68719484027,17.04,0,0,0,0,55,['0930IbnIyas.NuzhatUmam'],['0346Mascudi.MurujDhahab'],No Cluster,No Cluster
240518352213,1070,461,120259275650,98.7,0,0,0,0,56,['0874IbnTaghribirdi.NujumZahira'],['0350MuhammadKindi.FadailMisr'],No Cluster,No Cluster
120259269036,5,974,240518352214,36.65,0,0,0,0,56,['0733Nuwayri.NihayatArab'],['0874IbnTaghribirdi.NujumZahira'],No Cluster,No Cluster
60129812887,454,1062,60129812885,35.5,0,0,0,0,57,['0930IbnIyas.NuzhatUmam'],['0350MuhammadKindi.FadailMisr'],No Cluster,No Cluster
77309710785,151,1374,51539645512,13.68,0,0.0,0,0,58,['0930IbnIyas.NuzhatUmam'],No Data,No Cluster,No Cluster
77309710785,151,1374,77309710791,11.5,0,0.0,0,0,58,['0930IbnIyas.NuzhatUmam'],['0649MuhammadIdrisi.Anwar'],No Cluster,No Cluster
77309710785,151,1374,218798,41.92,25769962237,80.9,0,0,58,['0930IbnIyas.NuzhatUmam'],"['0646IbnQifti.TarikhHukama', '0646IbnQifti.IkhbarCulama']",['0700MuhammadCibdariHahi.Rihla'],No Cluster
60129713613,528,568,107663,26.76,0,0,0,0,59,['0930IbnIyas.NuzhatUmam'],['0749IbnFadlAllahCumari.MasalikAbsar'],No Cluster,No Cluster
51539675115,176,1172,34360089635,59.9,0,0,0,0,60,['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster
25769825938,1,1455,25769825942,35.19,0,0,0,0,61,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
25769825938,1,1455,25769825947,26.39,0,0,0,0,61,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
76351,1,1482,217338,29.49,0,0,0,0,62,['0230IbnSacd.TabaqatKubra'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
76351,1,1482,217334,43.86,0,0,0,0,62,['0230IbnSacd.TabaqatKubra'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
76351,1,1482,217341,15.32,0,0,0,0,62,['0230IbnSacd.TabaqatKubra'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
71092,1,498,71096,54.82,0,0.0,0,0,63,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
71092,1,498,71099,23.29,0,0.0,0,0,63,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
71091,103,704,71095,44.74,0,0.0,0,0,63,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
71100,203,1290,71093,37.67,71098,48.15,0,0,63,['0705SharafDinDimyati.NisaRasul'],['0230IbnSacd.TabaqatKubra'],['0734IbnSayyidNas.CuyunAthar'],No Cluster
25769892305,105,876,25769892309,31.39,0,0,0,0,64,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
25769892305,105,876,25770024700,32.76,0,0,0,0,64,['0257IbnCabdHakam.FutuhMisr'],['0257IbnCabdHakam.FutuhMisr'],No Cluster,No Cluster
25769892305,105,876,25770024702,23.97,0,0,0,0,64,['0257IbnCabdHakam.FutuhMisr'],['0360Tabarani.MucjamKabir'],No Cluster,No Cluster
25770024694,110,1269,25770024705,51.22,0,0,0,0,64,['0783IbnHadida.MisbahMudi'],['0842IbnNasirDinDimashqi.JamicAthar'],No Cluster,No Cluster
260028,95,799,8589955409,76.6,8590316253,29.25,0,0,65,['0257IbnCabdHakam.FutuhMisr'],['0783IbnHadida.MisbahMudi'],['0257IbnCabdHakam.FutuhMisr'],No Cluster
188978585610,218,1255,283468100457,76.73,68719613686,19.63,0,0,66,['0911Suyuti.HusnMuhadara'],['0649MuhammadIdrisi.Anwar'],['0626YaqutHamawi.MucjamBuldan'],No Cluster
188978585610,218,1255,128849253105,41.2,0,0.0,0,0,66,['0911Suyuti.HusnMuhadara'],['0930IbnIyas.BadaicZuhur'],No Cluster,No Cluster
68719613683,838,764,283468189868,41.36,0,0.0,0,0,66,['0930IbnIyas.NuzhatUmam'],['0814IbnZayyat.KawakibSayyara'],No Cluster,No Cluster
25769935059,1,885,25769935063,50.62,0,0,0,0,67,['0821Qalqashandi.SubhAcsha'],['0821Qalqashandi.SubhAcsha'],No Cluster,No Cluster
