word_5,word_4,word_3,word_2,word_1,book_1,book_2,book_3,book_4,book_5,row_id,cit,book_no,uri_other,word_start,word_end,extend,new_uri
ارجع,حتي,علي,تقيمون,لهم,0257IbnCabdHakam.FutuhMisr,0736IbnDawadari.KanzDurar,,,,465,,,,,,,
ارجع,حتي,علي,تقيمون,لهم,0257IbnCabdHakam.FutuhMisr,,,,,466.467,,,,,,,
ارسلنا,اذ,عاد,وفي,تعالي,0930IbnIyas.NuzhatUmam,,,,,526,,,,,,,
ارض,اخبار,من,ولمع,الجنادل,0458IbnSidaMursi.MuhkamWaMuhit,0930IbnIyas.NuzhatUmam,,,,539,,,,,,,
ارض,ايه,لله,الحمد,عمرو,0257IbnCabdHakam.FutuhMisr,0634AbuRabicHimyari.Iktifa,,,,728,,,,,,,
ارض,ايه,لله,الحمد,عمرو,0257IbnCabdHakam.FutuhMisr,,,,,726.727.729,,,,,,,
ارض,بعناك,انما,فقالوا,معدنان,0224QasimIbnSallam.Amwal,,,,,308,,,,,,,
ارض,بعناك,انما,فقالوا,معدنان,0450AbuHasanMawardi.AhkamSultaniyya,0450AbuHasanMawardi.HawiKabir,0450AbuHasanMawardi.HawiKabir',,,307,,,,,,,
ارض,سكان,واما,الصلت,ابو,0626YaqutHamawi.MucjamBuldan,0930IbnIyas.NuzhatUmam,,,,167,,,,,,,
ارض,كل,واللق,سيده,ابن,0458IbnSidaMursi.MuhkamWaMuhit,,,,,1250,,,,,,,
ارضا,ابتاع,خالد,ان,له,0279Baladhuri.AnsabAshraf,0630IbnAthirCizzDin.Kamil,,,,1629,,,,,,,
ارضا,ان,بلغنا,لقد,سعيد,0544QadiCiyad.TartibMadarik,0845Maqrizi.Muqaffa,,,,1364,,,,,,,
ارضا,ان,بلغنا,لقد,سعيد,0733Nuwayri.NihayatArab,,,,,1363,,,,,,,
ارضي,فاني,حذيفه,ابي,ابن,0350MuhammadKindi.WulatMisr,,,,,1521,,,,,,,
ارضي,فاني,حذيفه,ابي,ابن,0845Maqrizi.Muqaffa,,,,,1522,,,,,,,
ارطب,جديا,منا,طلبت,لو,0350MuhammadKindi.WulatMisr,,,,,1521,,,,,,,
ارطب,جديا,منا,طلبت,لو,0845Maqrizi.Muqaffa,,,,,1522,,,,,,,
ارعي,فانت,يخصني,فيما,اما,0488ZahirDin.DhaylTajaribUmam,0947BamakhramaHimyari.QiladatNahr,,,,1158,,,,,,,
ارك,لم,اشيا,بقيت,قد,0257IbnCabdHakam.FutuhMisr,0717CabbasSafadi.NuzhatMalikWaMamluk,0736IbnDawadari.KanzDurar,,,88,,,,,,,
ارمينه,خرابا,الارض,اول,مكحول,0257IbnCabdHakam.FutuhMisr,0736IbnDawadari.KanzDurar,,,,76,,,,,,,
ارمينه,خرابا,الارض,اول,مكحول,0257IbnCabdHakam.FutuhMisr,0783IbnHadida.MisbahMudi,0911Suyuti.HusnMuhadara,,,74,,,,,,,
ارمينه,خرابا,الارض,اول,مكحول,0257IbnCabdHakam.FutuhMisr,0911Suyuti.HusnMuhadara,,,,75,,,,,,,
اري,الذي,اتتاملون,معه,لمن,0255Jahiz.Hayawan,0733Nuwayri.NihayatArab,,,,1301,,,,,,,
اري,حتي,اسطرا,منه,فحول,0279Baladhuri.FutuhBuldan,0450AbuHasanMawardi.AhkamSultaniyya,,,,315.316,,,,,,,
اري,عنه,الله,رضي,عثمان,0230IbnSacd.TabaqatKubra,0450AbuHasanMawardi.AhkamSultaniyya,,,,296,,,,,,,
اري,عنه,الله,رضي,عثمان,0733Nuwayri.NihayatArab,0789IbnMuhammadKhuzaci.TakhrijDalalat,,,,297,,,,,,,
اري,فقال,تحتك,ما,انظر,0200YahyaIbnSalam.Tafsir,0213IbnHisham.SiraNabawiyya,,,,422,,,,,,,
اري,فقال,تحتك,ما,انظر,0200YahyaIbnSalam.Tafsir,0257IbnCabdHakam.FutuhMisr,,,,420,,,,,,,
اري,فقال,تحتك,ما,انظر,0200YahyaIbnSalam.Tafsir,,,,,421,,,,,,,
ازل,لم,الحسين,دم,هذا,0230IbnSacd.TabaqatKubra',0230IbnSacd.TarjamatHusayn,0463IbnCabdBarr.IsticabFiMacrifatAshab,,,999,,,,,,,
ازل,لم,الحسين,دم,هذا,0660IbnCadim.BughyatTalab,0845Maqrizi.Muqaffa,,,,998,,,,,,,
اسال,ثم,الميدان,فاسال,الا,0350MuhammadKindi.WulatMisr,0874IbnTaghribirdi.NujumZahira,,,,835,,,,,,,
اسامه,بناه,الذي,المقياس,منها,0874IbnTaghribirdi.NujumZahira,0930IbnIyas.NuzhatUmam,,,,207,,,,,,,
اسامه,بناه,الذي,المقياس,منها,0930IbnIyas.NuzhatUmam,,,,,208,,,,,,,
استقامت,لما,هروشيوس,كتاب,في,0845Maqrizi.KhabarCanBashar,,,,,29,,,,,,,
استقل,ولما,التركيه,السيره,جامع,0725BaybarsMansuri.ZubdatFikra,0930IbnIyas.NuzhatUmam,,,,323,,,,,,,
اسرايل,بن,الدين,نجم,الشيخ,0654SibtIbnJawzi.MiratZaman,0733Nuwayri.NihayatArab,0809IbnDuqmaq.NuzhatAnam,0845Maqrizi.Suluk,,599,,,,,,,
اسرايل,بن,الدين,نجم,الشيخ,0733Nuwayri.NihayatArab,0845Maqrizi.Suluk,,,,598,,,,,,,
اسرايل,بني,بوانا,ولقد,تعالي,0257IbnCabdHakam.FutuhMisr,0347IbnYunusSadafi.Tarikh,,,,66,,,,,,,
اسرايل,بني,بوانا,ولقد,تعالي,0257IbnCabdHakam.FutuhMisr,0733Nuwayri.NihayatArab,,,,67,,,,,,,
اسرايل,بني,بوانا,ولقد,تعالي,0257IbnCabdHakam.FutuhMisr,,,,,68,,,,,,,
اسرايل,بني,ميثاق,اخذنا,لقد,0733Nuwayri.NihayatArab,0845Maqrizi.MusawwadatMawaciz,,,,914.915,,,,,,,
اسفهسلار,بن,رستم,بن,احمد,0626YaqutHamawi.MucjamUdaba,0845Maqrizi.MusawwadatMawaciz,,,,876,,,,,,,
اسفهسلار,بن,رستم,بن,احمد,0626YaqutHamawi.MucjamUdaba,,,,,875,,,,,,,
اسما,عده,السلام,عليه,لموسي,0487AbuCubaydBakri.MucjamMaIstacjama,0721IbnRushaydSabti.MalCayba,,,,535,,,,,,,
اسماعيل,الطاهر,ابو,المكين,القاضي,0276IbnQutaybaDinawari.ShicrWaShucara,0852IbnHajarCasqalani.RafcIsr,,,,1671,,,,,,,
اسماعيل,بن,الحسن,محمد,ابو,0646IbnQifti.IkhbarCulama,0646IbnQifti.TarikhHukama',0930IbnIyas.NuzhatUmam,,,84,,,,,,,
